"Week","Date","Opponent","Result","Record","Game Site","TV Time","Attendance"
"1","September 1, 1996","Arizona Cardinals","W 20–13","1–0","RCA Dome","FOX 1:00 pm","48,133"
"2","September 8, 1996","at New York Jets","W 21–7","2–0","The Meadowlands","NBC 4:15 pm","63,534"
"3","September 15, 1996","at Dallas Cowboys","W 25–24","3–0","Texas Stadium","NBC 4:15 pm","63,021"
"4","September 23, 1996","Miami Dolphins","W 10–6","4–0","RCA Dome","ABC 9:00 pm","60,891"
"5","Bye","Bye","Bye","Bye","Bye","Bye","Bye"
"6","October 6, 1996","at Buffalo Bills","L 13–16","4–1","Rich Stadium","NBC 4:15 pm","79,401"
"7","October 13, 1996","Baltimore Ravens","W 26–21","5–1","RCA Dome","TNT 8:15 pm","56,978"
"8","October 20, 1996","New England Patriots","L 9–27","5–2","RCA Dome","NBC 1:00 pm","58,725"
"9","October 27, 1996","at Washington Redskins","L 16–31","5–3","RFK Stadium","NBC 1:00 pm","54,254"
"10","November 3, 1996","San Diego Chargers","L 19–26","5–4","RCA Dome","NBC 1:00 pm","58,484"
"11","November 10, 1996","at Miami Dolphins","L 13–37","5–5","Joe Robbie Stadium","NBC 1:00 pm","66,623"
"12","November 17, 1996","New York Jets","W 34–29","6–5","RCA Dome","NBC 1:00 pm","48,322"
"13","November 24, 1996","at New England Patriots","L 13–27","6–6","Foxboro Stadium","NBC 1:00 pm","58,226"
"14","December 1, 1996","Buffalo Bills","W 13–10","7–6","RCA Dome","NBC 4:15 pm","53,804"
"15","December 5, 1996","Philadelphia Eagles","W 37–10","8–6","RCA Dome","ESPN 8:15 pm","52,689"
"16","December 15, 1996","at Kansas City Chiefs","W 24–19","9–6","Arrowhead Stadium","NBC 4:15 pm","71,136"
"17","December 22, 1996","at Cincinnati Bengals","L 24–31","9–7","Cinergy Field","NBC 1:00 pm","49,389"
