"Rd","Home Team","Score","Away Team","Result (W/D/L)","Attendance"
"1","Harlequins RL","28–47","Wigan Warriors","L","8,041"
"2","Hull","6–24","Harlequins RL","W","13,313"
"3","Harlequins RL","34–18","Wakefield Trinity Wildcats","W","3,176"
"4","Castleford Tigers","16–22","Harlequins RL","W","6,268"
"5","Harlequins RL","24–0","Huddersfield Giants","W","3,284"
"6","[[]]","–","[[]]",".","—"
"7","[[]]","–","[[]]",".","—"
"CCC4","[[]]","–","[[]]",".","—"
"8","[[]]","–","[[]]",".","—"
"9","[[]]","–","[[]]",".","—"
"10","[[]]","–","[[]]",".","—"
"11","[[]]","–","[[]]",".","—"
"12","[[]]","–","[[]]",".","—"
"13 (a)","[[]]","–","[[]]",".","—"
"14","[[]]","–","[[]]",".","—"
"15","[[]]","–","[[]]",".","—"
"16","[[]]","–","[[]]",".","—"
"17","[[]]","–","[[]]",".","—"
"18","[[]]","–","[[]]",".","—"
"19","[[]]","–","[[]]",".","—"
"20","[[]]","–","[[]]",".","—"
"21","[[]]","–","[[]]",".","—"
"22","[[]]","–","[[]]",".","—"
"23","[[]]","–","[[]]",".","—"
"24","[[]]","–","[[]]",".","—"
"25","[[]]","–","[[]]",".","—"
"26","[[]]","–","[[]]",".","—"
"27","[[]]","–","[[]]",".","—"
"ESL PO1","[[]]","–","[[]]",".","—"
"ESL PO2","[[]]","–","[[]]",".","—"
"ESL PO3","[[]]","–","[[]]",".","—"
"ESL GF","[[]]","–","[[]]",".","—"
