Selected\nLatin American\ncountries	Internl.\ntourism\narrivals\n2010\n(x 1000)	Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000)	Average\nreceipt\nper visitor\n2009\n(USD/turista)	Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007	Receipts\nper\ncapita \n2005\nUSD	Revenues\nas %\nexports of\ngoods and\nservices\n2003	Tourism\nincome\n %\nGDP\n2003	% Direct and\nindirect\nemployment\nin tourism\n2005	World\nranking\nTourism\nCompetitiv.\nTTCI\n2011	2011\nTTCI\nIndex
Argentina	5,288	4,930	932	115	57	7,4	1,8	9,1	60	4.20
Brazil	5,161	5,919	1,147	26	18	3,2	0,5	7,0	52	4.36
Chile	2,766	1,636	591	151	73	5,3	1,9	6,8	57	4.27
Costa Rica	2,100	2,111	1,005	442	343	17,5	8,1	13,3	44	4.43
Cuba	2,507	n/d	n/d	188	169	n/d	n/d	n/d	n/d	n/d
Dominican Republic	4,125	4,240	1,028	408	353	36,2	18,8	19,8	72	3.99
Mexico	22,395	11,872	530	201	103	5,7	1,6	14,2	43	4.43
Panama	1,317	1,676	1,273	330	211	10,6	6,3	12,9	56	4.30
Peru	2,299	2,274	989	65	41	9,0	1,6	7,6	69	4.04
Uruguay	2,352	1,496	636	525	145	14,2	3,6	10,7	58	4.24
