"Title","Release","Genre","Computer","Console","Handheld","Smartphone"
"Bionicle Heroes","2006","Third-person shooter","Windows","PlayStation 2, GameCube, Xbox, Xbox 360, Wii","Nintendo DS","—"
"Bionicle: Matoran Adventures","2002","Platformer","—","—","Game Boy Advance","—"
"Bionicle: Maze of Shadows","2005","Turn Based RPG","—","—","Game Boy Advance","—"
"Bionicle: Tales of the Tohunga","2001","Adventure","—","—","Game Boy Advance","—"
"Bionicle: The Game","2003","Adventure","Windows, OS X","PlayStation 2, GameCube, Xbox","Game Boy Advance","—"
"Drome Racers","2002","Racing","Windows","PlayStation 2, GameCube, Xbox","Game Boy Advance","—"
"Island Xtreme Stunts","2002","Action-adventure","Windows","PlayStation 2","Game Boy Advance","—"
"Lego Alpha Team","2000","Action","Windows","—","Game Boy Color","—"
"Lego Battles","2009","Real-time strategy","—","—","Nintendo DS","—"
"Lego Battles: Ninjago","2011","Real-time strategy","—","—","Nintendo DS","iOS"
"Lego Chess","1998","Strategy","Windows","—","—","—"
"Lego City Undercover","2013","Open world, Platform game","—","Wii U","—","—"
"Lego City Undercover: The Chase Begins","2013","Open world, Platform game","—","—","Nintendo 3DS","—"
"Lego Creationary","2011","Puzzle","—","—","—","iOS, Android"
"Lego Creator","1998","Construction and management simulation","Windows","—","—","—"
"Lego Creator: Knights Kingdom","2000","Construction and management simulation","Windows","—","—","—"
"Lego Friends","2013","Miscellaneous","—","—","Nintendo DS, Nintendo 3DS","—"
"Lego Island","1997","Action-adventure","Windows","—","—","—"
"Lego Island 2 The Brickster's Revenge","2001","Action-adventure","Windows","PlayStation","Game Boy Color, Game Boy Advance","—"
"Lego Knights' Kingdom","2004","Action-adventure","—","—","Game Boy Advance","—"
"Lego Legends of Chima Online","2014","Massively multiplayer online (MMO)","Windows","—","—","—"
"Lego Legends of Chima: Laval's Journey","2013","Action-adventure","—","—","Nintendo DS, Nintendo 3DS, PlayStation Vita","—"
"Lego Legends of Chima: Speedorz","2013","Racing","Windows","—","—","iOS"
"Lego Loco","1998","Virtual world","Windows","—","—","—"
"Lego Minifigures Online","2014","Massively multiplayer online (MMO)","Windows","—","—","iOS, Android"
"Lego My Style Kindergarten","2000","Educational","Windows, Mac OS","—","—","—"
"Lego My Style Preschool","2000","Educational","Windows, Mac OS","—","—","—"
"Lego Ninjago Nindroids","2014","Action-adventure","—","—","Nintendo 3DS, PlayStation Vita","—"
"Lego Ninjago: The Final Battle","2013","Platformer","Windows","—","—","—"
"Lego Racers","1999","Racing","Windows","PlayStation, Nintendo 64","Game Boy Color","—"
"Lego Racers 2","2001","Racing","Windows","PlayStation 2","Game Boy Advance","—"
"Lego Rock Raiders","1999","Real-time strategy, Action","Windows","PlayStation","—","—"
"Lego Soccer Mania","2002","Sport","Windows","PlayStation 2","Game Boy Advance","—"
"Lego Stunt Rally","2000","Racing","Windows","—","Game Boy Color","—"
"Lego Universe","2010","Massively multiplayer online (MMO)","Windows, OS X","—","—","—"
"Legoland","1999","Simulation strategy","Windows","—","—","—"
