"Fin","St","Driver","Car #","Make","Points","Bonus","Laps","Winnings"
"1","1","Jeff Gordon","24","Chevrolet","195","10","192","$355,511"
"2","8","Jimmie Johnson","48","Chevrolet","175","5","192","$251,736"
"3","26","Kurt Busch","2","Dodge","170","5","192","$212,483"
"4","2","David Gilliland","38","Ford","160","","192","$182,689"
"5","25","Jamie McMurray","26","Ford","160","5","192","$134,675"
"6","41","Kevin Harvick","29","Chevrolet","150","","192","$164,536"
"7","36","Dale Earnhardt Jr.","8","Chevrolet","151","5","192","$149,233"
"8","20","David Stremme","40","Dodge","147","5","192","$106,025"
"9","28","Ryan Newman","12","Dodge","138","","192","$133,450"
"10","37","Martin Truex Jr.","1","Chevrolet","134","","192","$126,495"
"11","9","Scott Riggs","10","Dodge","130","","192","$107,050"
"12","30","Kasey Kahne","9","Dodge","132","5","192","$138,891"
"13","34","Jeff Green","66","Chevrolet","129","5","192","$120,933"
"14","17","Matt Kenseth","17","Ford","126","5","192","$137,641"
"15","39","Elliott Sadler","19","Dodge","123","5","192","$110,770"
"16","4","Sterling Marlin","14","Chevrolet","120","5","192","$107,983"
"17","10","David Ragan *","6","Ford","117","5","192","$127,100"
"18","23","Kyle Petty","45","Dodge","109","","192","$103,083"
"19","31","J.J. Yeley","18","Chevrolet","106","","192","$116,033"
"20","35","Bobby Labonte","43","Dodge","103","","192","$127,111"
"21","3","Denny Hamlin","11","Chevrolet","105","5","192","$102,550"
"22","27","Tony Raines","96","Chevrolet","97","","192","$96,425"
"23","18","Jeremy Mayfield","36","Toyota","94","","192","$83,075"
"24","22","Regan Smith","01","Chevrolet","96","5","192","$104,258"
"25","29","Reed Sorenson","41","Dodge","88","","192","$101,947"
"26","6","Kenny Wallace","78","Chevrolet","90","5","192","$83,325"
"27","11","Boris Said","160","Ford","87","5","191","$80,775"
"28","32","Tony Stewart","20","Chevrolet","84","5","190","$127,761"
"29","12","Greg Biffle","16","Ford","81","5","190","$97,025"
"30","21","Johnny Sauter","70","Chevrolet","73","","190","$79,325"
"31","24","Juan Montoya *","42","Dodge","70","","187","$115,750"
"32","14","David Reutimann *","00","Toyota","67","","184","$78,525"
"33","5","Ricky Rudd","88","Ford","64","","155","$110,458"
"34","42","Jeff Burton","31","Chevrolet","66","5","151","$118,266"
"35","40","Clint Bowyer","07","Chevrolet","58","","147","$86,125"
"36","15","Ward Burton","4","Chevrolet","55","","144","$78,725"
"37","13","Kyle Busch","5","Chevrolet","52","","130","$95,800"
"38","33","Joe Nemechek","13","Chevrolet","49","","130","$77,450"
"39","7","Casey Mears","25","Chevrolet","51","5","124","$85,250"
"40","43","Dale Jarrett","44","Toyota","43","","38","$77,000"
"41","38","Robby Gordon","7","Ford","40","","33","$76,800"
"42","16","Carl Edwards","99","Ford","37","","27","$84,630"
"43","19","Paul Menard *","15","Chevrolet","34","","22","$76,737"
