"Type","Diagonal (mm)","Width (mm)","Height (mm)","Area (mm2)","Stops (area)","Crop factor"
"1/10\"","1.60","1.28","0.96","1.23","-9.51","27.04"
"1/8\"","2.00","1.60","1.20","1.92","-8.81","21.65"
"1/6\"","3.00","2.40","1.80","4.32","-7.64","14.14"
"1/4\"","4.00","3.20","2.40","7.68","-6.81","10.81"
"1/3.6\" (Nokia Lumia 720)","5.00","4.00","3.00","12.0","-6.16","8.65"
"1/3.2\" (iPhone 5)","5.68","4.54","3.42","15.50","-5.80","7.61"
"Standard 8mm film frame","5.94","4.8","3.5","16.8","-5.73","7.28"
"1/3\" (iPhone 5S)","6.00","4.80","3.60","17.30","-5.64","7.21"
"1/2.7\"","6.72","5.37","4.04","21.70","-5.31","6.44"
"Super 8mm film frame","7.04","5.79","4.01","23.22","-5.24","6.15"
"1/2.5\" (Sony Cyber-shot DSC-T5)","7.18","5.76","4.29","24.70","-5.12","6.02"
"1/2.3\" (Pentax Q) (Sony Cyber-shot DSC-W330)(gopro hero 3) (Panasonic HX-A500)","7.66","6.17","4.55","28.50","-4.92","5.64"
"1/2\" (Fujifilm HS30EXR)","8.00","6.40","4.80","30.70","-4.81","5.41"
"1/1.8\" (Nokia N8)","8.93","7.18","5.32","38.20","-4.50","4.84"
"1/1.7\" (Pentax Q7)","9.50","7.60","5.70","43.30","-4.32","4.55"
"1/1.6\"","10.07","8.08","6.01","48.56","-4.15","4.30"
"2/3\" (Nokia Lumia 1020, Fujifilm X-S1, X20, XF1)","11.00","8.80","6.60","58.10","-3.89","3.93"
"Standard 16mm film frame","12.7","10.26","7.49","76.85","-3.49","3.41"
"1/1.2\" (Nokia 808 PureView)","13.33","10.67","8.00","85.33","-3.34","3.24"
"Blackmagic Pocket Cinema Camera","14.32","12.48","7.02","87.6","-3.30","3.02"
"Super 16mm film frame","14.54","12.52","7.41","92.80","-3.22","2.97"
"1\" Nikon CX, Sony Cyber-shot DSC-RX100 and Sony Cyber-shot DSC-RX10","15.86","13.20","8.80","116","-2.90","2.72"
"1\" Digital Bolex d16","16.00","12.80","9.60","123","-2.81","2.70"
"Blackmagic Cinema Camera EF","18.13","15.81","8.88","140","-2.62","2.38"
"Four Thirds, Micro Four Thirds (\"4/3\", \"m4/3\")","21.60","17.30","13","225","-1.94","2.00"
"1.5\" Canon G1X","23.36","18.70","14.00","262","-1.72","1.85"
"Blackmagic Production Camera 4K","24.23","21.12","11.88","251","-1.78","1.79"
"original Sigma Foveon X3","24.90","20.70","13.80","286","-1.60","1.74"
"Canon EF-S, APS-C","26.70","22.20","14.80","329","-1.39","1.62"
"Standard 35mm film frame","27.20","22.0","16.0","352","-1.34","1.59"
"APS-C (Nikon DX, Pentax K, Samsung NX, Sony α DT, Sony E)","28.2–28.4","23.6–23.7","15.60","368–370","-1.23","1.52–1.54"
"Super 35mm film frame","31.11","24.89","18.66","464","-0.95","1.39"
"Canon APS-H","33.50","27.90","18.60","519","-0.73","1.29"
"35mm full-frame, (Nikon FX, Sony α, Sony FE, Canon EF)","43.2–43.3","36","23.9–24.3","860–864","0","1.0"
"Leica S","54","45","30","1350","+0.64","0.80"
"Pentax 645D","55","44","33","1452","+0.75","0.78"
"Standard 65mm film frame","57.30","52.48","23.01","1208","+0.81","0.76"
"Kodak KAF 39000 CCD","61.30","49","36.80","1803","+1.06","0.71"
"Leaf AFi 10","66.57","56","36","2016","+1.22","0.65"
"Medium-format (Hasselblad H5D-60)","67.08","53.7","40.2","2159","+1.26","0.65"
"Phase One P 65+, IQ160, IQ180","67.40","53.90","40.40","2178","+1.33","0.64"
"IMAX film frame","87.91","70.41","52.63","3706","+2.05","0.49"
