N	P	Nat.	Name	Age	Moving from	Type	Transfer\nwindow	Ends	Transfer\nfee
20	RW	POR	Nuno Capucho	31	Porto	Transfer	Summer	2005	£0.67m
15	CB	Georgia	Zurab Khizanishvili	21	Dundee	Transfer	Summer	2006	Free
16	LB	ITA	Paolo Vanoli	30	Bologna	Transfer	Summer	2005	Free
25	CB	NOR	Henning Berg	33	Blackburn Rovers	Transfer	Summer	2004	Free
4	CM	BRA	Emerson	31	Atlético Madrid	Transfer	Summer	2005	Free
9	CF	NOR	Egil Østenstad	31	Blackburn Rovers	Transfer	Summer	2004	Free
37	LM	TUN	Hamed Namouchi	19	Cannes	Transfer	n/a	2005	Free
	CM	FRA	Marc Kalenga	18	Auxerre	Transfer	n/a	2004	Free
11	CM	SCO	Gavin Rae	26	Dundee	Transfer	Winter	2007	£0.25m
5	CB	NED	Frank de Boer	33	Galatasaray	Transfer	Winter	2004	Free
52	CF	MKD	Bajram Fetai	18	B.93	Transfer	Winter	2006	£0.2m
