"Year","Film","Rotten Tomatoes","Metacritic","IMDb"
"1982","Images of Liberation","N/A","N/A","5.1/10"
"1984","The Element of Crime","77%","N/A","6.9/10"
"1987","Epidemic","33%","66%","6.1/10"
"1991","Europa","85%","66%","7.7/10"
"1996","Breaking the Waves","86%","76%","7.9/10"
"1998","The Idiots","70%","47%","6.9/10"
"2000","Dancer in the Dark","68%","61%","8.0/10"
"2003","The Five Obstructions","88%","79%","7.5/10"
"2003","Dogville","70%","59%","8.0/10"
"2005","Manderlay","51%","46%","7.4/10"
"2006","The Boss of It All","74%","71%","6.7/10"
"2009","Antichrist","48%","49%","6.6/10"
"2011","Melancholia","77%","80%","7.1/10"
"2013","Nymphomaniac: Volume I","77%","63%","7.5/10"
"2013","Nymphomaniac: Volume II","79%","76%","7.2/10"
