"Member","Party","Electorate","State","First elected"
"Charles Adermann","Country","Fisher","Qld","1943"
"Ian Allan","Country","Gwydir","NSW","1953"
"Gordon Anderson","ALP","Kingsford Smith","NSW","1949"
"Tom Andrews","ALP","Darebin","Vic","1949"
"Hon Larry Anthony","Country","Richmond","NSW","1937"
"Jeff Bate","Liberal","Macarthur","NSW","1949"
"Hon Howard Beale","Liberal","Parramatta","NSW","1946"
"Kim Beazley","ALP","Fremantle","WA","1945"
"Doug Berry","Liberal","Griffith","Qld","1949"
"Alan Bird","ALP","Batman","Vic","1949"
"Francis Bland","Liberal","Warringah","NSW","1951"
"William Bostock","Liberal","Indi","Vic","1949"
"Bill Bourke","ALP","Fawkner","Vic","1949"
"George Bowden","Country","Gippsland","Vic","1943"
"Wilfred Brimblecombe","Country","Maranoa","Qld","1951"
"Geoffrey Brown","Liberal","McMillan","Vic","1949"
"Hon Harry Bruce","ALP","Leichhardt","Qld","1951"
"Tom Burke","ALP","Perth","WA","1943"
"Bill Bryson","ALP","Wills","Vic","1943–1946, 1949"
"Hon Archie Cameron","Liberal","Barker","SA","1934"
"Clyde Cameron","ALP","Hindmarsh","SA","1949"
"Dr Donald Cameron","Liberal","Oxley","Qld","1949"
"Hon Arthur Calwell","ALP","Melbourne","Vic","1940"
"Rt Hon Richard Casey","Liberal","La Trobe","Vic","1931–40, 1949"
"Hon Cyril Chambers","ALP","Adelaide","SA","1943"
"Rt Hon Ben Chifley","ALP","Macquarie","NSW","1928–31, 1940"
"Hon Percy Clarey","ALP","Bendigo","Vic","1949"
"Joe Clark","ALP","Darling","NSW","1934"
"Bernard Corser","Country","Wide Bay","Qld","1928"
"Dominic Costa","ALP","Banks","NSW","1949"
"Hon John Cramer","Liberal","Bennelong","NSW","1949"
"Frank Crean","ALP","Melbourne Ports","Vic","1951"
"Jack Cremean","ALP","Hoddle","Vic","1949"
"Dan Curtin","ALP","Watson","NSW","1949"
"Fred Daly","ALP","Grayndler","NSW","1943"
"Charles Davidson","Country","Dawson","Qld","1946"
"Billy Davies","ALP","Cunningham","NSW","1949"
"Frank Davis","Liberal","Deakin","Vic","1949"
"Roger Dean","Liberal","Robertson","NSW","1949"
"Alec Downer","Liberal","Angas","SA","1949"
"Hon Arthur Drakeford","ALP","Maribyrnong","Vic","1934"
"Hon David Drummond","Country","New England","NSW","1949"
"Nigel Drury","Liberal","Ryan","Qld","1949"
"Gil Duthie","ALP","Wilmot","Tas","1946"
"Bill Edmonds","ALP","Herbert","Qld","1946"
"Jim Eggins","Country","Lyne","NSW","1949"
"Rt Hon Dr H.V. Evatt","ALP","Barton","NSW","1940"
"Keith Ewert","ALP","Flinders","Vic","1952"
"Rt Hon Arthur Fadden","Country","McPherson","Qld","1949"
"Laurie Failes","Country","Lawson","NSW","1949"
"David Fairbairn","Liberal","Farrer","NSW","1949"
"Hon Allen Fairhall","Liberal","Paterson","NSW","1949"
"Bill Falkinder","Liberal","Franklin","Tas","1946"
"Joe Fitzgerald","ALP","Phillip","NSW","1949"
"Hon Josiah Francis","Liberal","Moreton","Qld","1922"
"Allan Fraser","ALP","Eden-Monaro","NSW","1943"
"Jim Fraser","ALP","Australian Capital Territory","ACT","1951"
"Gordon Freeth","Liberal","Forrest","WA","1949"
"Arthur Fuller","ALP","Hume","NSW","1943–49, 1951"
"Pat Galvin","ALP","Kingston","SA","1951"
"Bill Graham","Liberal","St George","NSW","1949"
"Bill Grayden","Liberal","Swan","WA","1949"
"Arthur Greenup","ALP","Dalley","NSW","1953"
"Charles Griffiths","ALP","Shortland","NSW","1949"
"Jo Gullett","Liberal","Henty","Vic","1946"
"Len Hamilton","Country","Canning","WA","1946"
"Rt Hon Eric Harrison","Liberal","Wentworth","NSW","1931"
"Jim Harrison","ALP","Blaxland","NSW","1949"
"Hon Paul Hasluck","Liberal","Curtin","WA","1949"
"Hon William Haworth","Liberal","Isaacs","Vic","1949"
"Leslie Haylen","ALP","Parkes","NSW","1943"
"Rt Hon Harold Holt","Liberal","Higgins","Vic","1935"
"John Howse","Liberal","Calare","NSW","1946"
"Rt Hon Billy Hughes","Liberal","Bradfield","NSW","1901"
"Alan Hulme","Liberal","Petrie","Qld","1949"
"William Jack","Liberal","North Sydney","NSW","1949"
"Rowley James","ALP","Hunter","NSW","1928"
"Hon Herbert Johnson","ALP","Kalgoorlie","WA","1940"
"Bob Joshua","ALP","Ballaarat","Vic","1951"
"Percy Joske","Liberal","Balaclava","Vic","1951"
"Hon Wilfrid Kent Hughes","Liberal","Chisholm","Vic","1949"
"Bruce Kekwick","Liberal","Bass","Tas","1949"
"Stan Keon","ALP","Yarra","Vic","1949"
"William Lawrence","Liberal","Wimmera","Vic","1949"
"Hon George Lawson","ALP","Brisbane","Qld","1931"
"Hon Bert Lazzarini","ALP","Werriwa","NSW","1919–31, 1934"
"Hugh Leslie","Liberal","Moore","WA","1949"
"Tony Luchetti","ALP","Macquarie","NSW","1951"
"Aubrey Luck","Liberal","Darwin","Tas","1951"
"Philip Lucock","Country","Lyne","NSW","1953"
"Dan Mackinnon","Liberal","Corangamite","Vic","1949–51, 1953"
"Hon Philip McBride","Liberal","Wakefield","SA","1931–37, 1937–43 (S), 1946"
"Malcolm McColm","Liberal","Bowman","Qld","1949"
"Hon Allan McDonald","Liberal","Corangamite","Vic","1940"
"Rt Hon John McEwen","Country","Murray","Vic","1934"
"John McLeay","Liberal","Boothby","SA","1949"
"Don McLeod","ALP","Wannon","Vic","1940–49, 1951"
"Hon William McMahon","Liberal","Lowe","NSW","1949"
"Rt Hon Robert Menzies","Liberal","Kooyong","Vic","1934"
"Dan Minogue","ALP","West Sydney","NSW","1949"
"Charles Morgan","ALP","Reid","NSW","1940–46, 1949"
"Dan Mulcahy","ALP","Lang","NSW","1934"
"Jack Mullens","ALP","Gellibrand","Vic","1949"
"Jock Nelson","ALP","Northern Territory","NT","1949"
"William O'Connor","ALP","Martin","NSW","1946"
"Hubert Opperman","Liberal","Corio","Vic","1949"
"Hon Frederick Osborne","Liberal","Evans","NSW","1949"
"Rt Hon Sir Earle Page","Country","Cowper","NSW","1919"
"Henry Pearce","Liberal","Capricornia","Qld","1949"
"Ted Peters","ALP","Burke","Vic","1949"
"Hon Reg Pollard","ALP","Lalor","Vic","1937"
"Hon Bill Riordan","ALP","Kennedy","Qld","1936"
"Hugh Roberton","Country","Riverina","NSW","1949"
"Hon Sol Rosevear","ALP","Dalley","NSW","1931"
"Edgar Russell","ALP","Grey","SA","1943"
"Rupert Ryan","Liberal","Flinders","Vic","1940"
"Tom Sheehan","ALP","Cook","NSW","1937"
"Frank Stewart","ALP","Lang","NSW","1953"
"Reginald Swartz","Liberal","Darling Downs","Qld","1949"
"Albert Thompson","ALP","Port Adelaide","SA","1946"
"Frank Timson","Liberal","Higinbotham","Vic","1949"
"Hon Athol Townley","Liberal","Denison","Tas","1949"
"Thomas Treloar","Country","Gwydir","NSW","1949"
"Winton Turnbull","Country","Mallee","Vic","1946"
"Harry Turner","Liberal","Bradfield","NSW","1952"
"Hon Eddie Ward","ALP","East Sydney","NSW","1931, 1932"
"David Oliver Watkins","ALP","Newcastle","NSW","1935"
"William Wentworth","Liberal","Mackellar","NSW","1949"
"Roy Wheeler","Liberal","Mitchell","NSW","1949"
"Gough Whitlam","ALP","Werriwa","NSW","1952"
"Bruce Wight","Liberal","Lilley","Qld","1949"
"Keith Wilson","Liberal","Sturt","SA","1937–44 (S), 1949"
"Thomas White","Liberal","Balaclava","Vic","1929"
