"Title","Release","Consoles","Handheld","PC","Arcade"
"NFL Blitz","1997, 1998","N64, PS","GBC","Windows","Arcade"
"NFL Blitz '99","1998","N/A","N/A","N/A","Arcade"
"NFL Blitz 2000","1999","N64, PS, Dreamcast","GBC","Windows","N/A"
"NFL Blitz 2000 Gold Edition","1999","N/A","N/A","N/A","Arcade"
"NFL Blitz 2001","2000","N64, PS, Dreamcast","GBC","Windows","N/A"
"NFL Blitz Special Edition","2001","N64","N/A","N/A","N/A"
"NFL Blitz 20-02","2001","PS2, Xbox, NGC","GBA","N/A","N/A"
"NFL Blitz 20-03","2002","PS2, Xbox, NGC","GBA","N/A","N/A"
"NFL Blitz Pro","2003","PS2, Xbox, NGC","N/A","N/A","N/A"
"Blitz: The League","2005","PS2, Xbox, PS3, Xbox 360","N/A","N/A","N/A"
"Blitz: The League II","2008","PS3, Xbox 360","N/A","N/A","N/A"
"NFL Blitz","2012","PS3, Xbox 360","N/A","N/A","N/A"
