Station complex	Individual stations	Lines	Services	Notes
34th Street – Herald Square	34th Street – Herald Square	BMT Broadway Line	N \n      Q \n      R	The BMT Broadway Line and IND Sixth Avenue Line, which lie on top of each other, received a transfer at the time of the July 1, 1948 fare increase. An existing connection was placed inside fare control.
34th Street – Herald Square	34th Street – Herald Square	IND Sixth Avenue Line	B \n      D \n      F \n      M	The BMT Broadway Line and IND Sixth Avenue Line, which lie on top of each other, received a transfer at the time of the July 1, 1948 fare increase. An existing connection was placed inside fare control.
Grand Central – 42nd Street	Grand Central	IRT 42nd Street Shuttle	S	The subway station at Grand Central Terminal serves the IRT Lexington Avenue Line, IRT Flushing Line, and IRT 42nd Street Shuttle. Connections are closely integrated, since all three lines were operated by the Interborough Rapid Transit Company. The original station, opened on October 27, 1904, served only the first IRT subway, and is now the shuttle platforms. The Flushing Line station opened on June 22, 1915, and the Lexington Avenue Line station on July 17, 1918, each with direct connections to the existing station.[citation needed] The elevated IRT Second Avenue Line was closed on June 13, 1942, and, starting the next day, a paper transfer was available between the elevated IRT Third Avenue Line and the Grand Central complex. This allowed passengers who had taken the Second Avenue Line over the Queensboro Bridge to instead use the Third Avenue Line to Lower Manhattan. The Third Avenue Line closed on May 12, 1955, ending this transfer.
Grand Central – 42nd Street	Grand Central	IRT Flushing Line	7  <7>	The subway station at Grand Central Terminal serves the IRT Lexington Avenue Line, IRT Flushing Line, and IRT 42nd Street Shuttle. Connections are closely integrated, since all three lines were operated by the Interborough Rapid Transit Company. The original station, opened on October 27, 1904, served only the first IRT subway, and is now the shuttle platforms. The Flushing Line station opened on June 22, 1915, and the Lexington Avenue Line station on July 17, 1918, each with direct connections to the existing station.[citation needed] The elevated IRT Second Avenue Line was closed on June 13, 1942, and, starting the next day, a paper transfer was available between the elevated IRT Third Avenue Line and the Grand Central complex. This allowed passengers who had taken the Second Avenue Line over the Queensboro Bridge to instead use the Third Avenue Line to Lower Manhattan. The Third Avenue Line closed on May 12, 1955, ending this transfer.
Grand Central – 42nd Street	Grand Central – 42nd Street	IRT Lexington Avenue Line	4 \n      5 \n      6  <6>	The subway station at Grand Central Terminal serves the IRT Lexington Avenue Line, IRT Flushing Line, and IRT 42nd Street Shuttle. Connections are closely integrated, since all three lines were operated by the Interborough Rapid Transit Company. The original station, opened on October 27, 1904, served only the first IRT subway, and is now the shuttle platforms. The Flushing Line station opened on June 22, 1915, and the Lexington Avenue Line station on July 17, 1918, each with direct connections to the existing station.[citation needed] The elevated IRT Second Avenue Line was closed on June 13, 1942, and, starting the next day, a paper transfer was available between the elevated IRT Third Avenue Line and the Grand Central complex. This allowed passengers who had taken the Second Avenue Line over the Queensboro Bridge to instead use the Third Avenue Line to Lower Manhattan. The Third Avenue Line closed on May 12, 1955, ending this transfer.
Grand Central – 42nd Street	42nd Street	IRT Third Avenue Line	N/A	The subway station at Grand Central Terminal serves the IRT Lexington Avenue Line, IRT Flushing Line, and IRT 42nd Street Shuttle. Connections are closely integrated, since all three lines were operated by the Interborough Rapid Transit Company. The original station, opened on October 27, 1904, served only the first IRT subway, and is now the shuttle platforms. The Flushing Line station opened on June 22, 1915, and the Lexington Avenue Line station on July 17, 1918, each with direct connections to the existing station.[citation needed] The elevated IRT Second Avenue Line was closed on June 13, 1942, and, starting the next day, a paper transfer was available between the elevated IRT Third Avenue Line and the Grand Central complex. This allowed passengers who had taken the Second Avenue Line over the Queensboro Bridge to instead use the Third Avenue Line to Lower Manhattan. The Third Avenue Line closed on May 12, 1955, ending this transfer.
Times Square – 42nd Street / 42nd Street – Port Authority Bus Terminal	Times Square	IRT 42nd Street Shuttle	S	At Times Square, a number of passageways connect the IRT Broadway – Seventh Avenue Line, IRT Flushing Line, IRT 42nd Street Shuttle, and BMT Broadway Line. A block-long passageway west to the IND Eighth Avenue Line is also inside fare control. The first transfer here was between the original IRT subway (now the shuttle platforms) and the Broadway–Seventh Avenue Line, opened on June 3, 1917, when the latter line opened as a shuttle to 34th Street – Penn Station. The Flushing Line was extended to Times Square on March 14, 1927, and a passageway connecting the IRT and BMT was placed inside fare control on July 1, 1948. The same was done with the connection to the Eighth Avenue Line in December 1988.
Times Square – 42nd Street / 42nd Street – Port Authority Bus Terminal	Times Square – 42nd Street	BMT Broadway Line	N \n      Q \n      R	At Times Square, a number of passageways connect the IRT Broadway – Seventh Avenue Line, IRT Flushing Line, IRT 42nd Street Shuttle, and BMT Broadway Line. A block-long passageway west to the IND Eighth Avenue Line is also inside fare control. The first transfer here was between the original IRT subway (now the shuttle platforms) and the Broadway–Seventh Avenue Line, opened on June 3, 1917, when the latter line opened as a shuttle to 34th Street – Penn Station. The Flushing Line was extended to Times Square on March 14, 1927, and a passageway connecting the IRT and BMT was placed inside fare control on July 1, 1948. The same was done with the connection to the Eighth Avenue Line in December 1988.
Times Square – 42nd Street / 42nd Street – Port Authority Bus Terminal	Times Square – 42nd Street	IRT Broadway – Seventh Avenue Line	1 \n      2 \n      3	At Times Square, a number of passageways connect the IRT Broadway – Seventh Avenue Line, IRT Flushing Line, IRT 42nd Street Shuttle, and BMT Broadway Line. A block-long passageway west to the IND Eighth Avenue Line is also inside fare control. The first transfer here was between the original IRT subway (now the shuttle platforms) and the Broadway–Seventh Avenue Line, opened on June 3, 1917, when the latter line opened as a shuttle to 34th Street – Penn Station. The Flushing Line was extended to Times Square on March 14, 1927, and a passageway connecting the IRT and BMT was placed inside fare control on July 1, 1948. The same was done with the connection to the Eighth Avenue Line in December 1988.
Times Square – 42nd Street / 42nd Street – Port Authority Bus Terminal	Times Square	IRT Flushing Line	7  <7>	At Times Square, a number of passageways connect the IRT Broadway – Seventh Avenue Line, IRT Flushing Line, IRT 42nd Street Shuttle, and BMT Broadway Line. A block-long passageway west to the IND Eighth Avenue Line is also inside fare control. The first transfer here was between the original IRT subway (now the shuttle platforms) and the Broadway–Seventh Avenue Line, opened on June 3, 1917, when the latter line opened as a shuttle to 34th Street – Penn Station. The Flushing Line was extended to Times Square on March 14, 1927, and a passageway connecting the IRT and BMT was placed inside fare control on July 1, 1948. The same was done with the connection to the Eighth Avenue Line in December 1988.
Times Square – 42nd Street / 42nd Street – Port Authority Bus Terminal	42nd Street – Port Authority Bus Terminal	IND Eighth Avenue Line	A \n      C \n      E	At Times Square, a number of passageways connect the IRT Broadway – Seventh Avenue Line, IRT Flushing Line, IRT 42nd Street Shuttle, and BMT Broadway Line. A block-long passageway west to the IND Eighth Avenue Line is also inside fare control. The first transfer here was between the original IRT subway (now the shuttle platforms) and the Broadway–Seventh Avenue Line, opened on June 3, 1917, when the latter line opened as a shuttle to 34th Street – Penn Station. The Flushing Line was extended to Times Square on March 14, 1927, and a passageway connecting the IRT and BMT was placed inside fare control on July 1, 1948. The same was done with the connection to the Eighth Avenue Line in December 1988.
42nd Street / Fifth Avenue – Bryant Park	42nd Street – Bryant Park	IND Sixth Avenue Line	B \n      D \n      F \n      M	A paper transfer was added between the IND Sixth Avenue Line and IRT Flushing Line at Bryant Park on July 1, 1968, when KK service started and the new 57th Street station opened. The transfer was only valid on weekdays from 5:00 a.m. to 8:00 p.m. until a passageway was opened by 1971.
42nd Street / Fifth Avenue – Bryant Park	Fifth Avenue	IRT Flushing Line	7  <7>	A paper transfer was added between the IND Sixth Avenue Line and IRT Flushing Line at Bryant Park on July 1, 1968, when KK service started and the new 57th Street station opened. The transfer was only valid on weekdays from 5:00 a.m. to 8:00 p.m. until a passageway was opened by 1971.
50th Street	upper level	IND Eighth Avenue Line	A \n      C	The station became a transfer station when the Queens Boulevard Line opened in 1933. There is no free connection between trains in opposite directions. A free transfer only exists between the northbound (uptown) services and another exists between the southbound (downtown) services.
50th Street	lower level	IND Queens Boulevard Line	E	The station became a transfer station when the Queens Boulevard Line opened in 1933. There is no free connection between trains in opposite directions. A free transfer only exists between the northbound (uptown) services and another exists between the southbound (downtown) services.
Lexington Avenue / 51st – 53rd Streets	51st Street	IRT Lexington Avenue Line	4 \n      6  <6>	A passageway connects these two stations on the IRT Lexington Avenue Line and IND Queens Boulevard Line. The $13 million tunnel was paid for by Boston Properties, who was building an office tower on the southeast corner of Lexington Avenue and 53rd Street, in exchange for a zoning bonus of 20% more space, and opened in early November 1986.
Lexington Avenue / 51st – 53rd Streets	Lexington Avenue – 53rd Street	IND Queens Boulevard Line	E \n      M	A passageway connects these two stations on the IRT Lexington Avenue Line and IND Queens Boulevard Line. The $13 million tunnel was paid for by Boston Properties, who was building an office tower on the southeast corner of Lexington Avenue and 53rd Street, in exchange for a zoning bonus of 20% more space, and opened in early November 1986.
Seventh Avenue	cross-platform interchange on two levels	IND Sixth Avenue Line	B \n      D	The station became a transfer station when the Sixth Avenue Line opened in 1940.
