"Place","Player","Country","Score","To par","Money ($)"
"1","Jack Nicklaus","United States","74-71-69-65=279","–9","144,000"
"T2","Tom Kite","United States","70-74-68-68=280","–8","70,400"
"T2","Greg Norman","Australia","70-72-68-70=280","–8","70,400"
"4","Seve Ballesteros","Spain","71-68-72-70=281","–7","38,400"
"5","Nick Price","Zimbabwe","79-69-63-71=282","–6","32,000"
"T6","Jay Haas","United States","76-69-71-67=283","–5","27,800"
"T6","Tom Watson","United States","70-74-68-71=283","–5","27,800"
"T8","Tsuneyuki Nakajima","Japan","70-71-71-72=284","–4","23,200"
"T8","Payne Stewart","United States","75-71-69-69=284","–4","23,200"
"T8","Bob Tway","United States","70-73-71-70=284","–4","23,200"
