| Position | Driver              | No.     | Car                                                | Entrant                                                        | Rd 1 | Rd 2 | Rd 3 | Rd 4 | Rd 5 | Rd 6 | Rd 7 | Rd 8 | Total |
| 1        | Greg Crick          | 3       | Dodge Viper GTS ACR                                | Crickcars.com                                                  | 98   | 108  | 91   | 72   | 98   | 96   | 60   | 90   | 713   |
| 2        | Bryce Washington    | 1 & 54  | Porsche 996 GT3 Cup Car                            | ADRAD Radiator Experts                                         | 85   | 79.5 | 104  | 42   | 102  | 84   | 75   | 79.5 | 651   |
| 3        | James Koundouris    | 69      | Porsche 996 GT3 Cup Car                            | Dare Shots Supabarn Supermarkets                               | 76   | 28.5 | 78   | 84   | 69   | 30   | 96   | 63   | 524.5 |
| 4        | Theo Koundouris     | 19      | Porsche 996 GT3 Cup Car                            | Dare Shots Supabarn Supermarkets                               | 74   | 57   | 55   | -    | 79   | 75   | 84   | 63   | 487   |
| 5        | Sven Burchartz      | 90      | Porsche 996 GT3                                    | Cargraphic AG                                                  | 32   | 18   | -    | 63   | 57   | 69   | 114  | 85.5 | 438.5 |
| 6        | David Wall          | 38      | Porsche 996 GT3 RSR                                | RDS                                                            | 32   | 37.5 | 63   | -    | 80   | 33   | -    | 117  | 362.5 |
| 7        | John Teulan         | 88      | Ferrari 360 Challenge Ferrari F430 Challenge       | Industry Central - Stahlwille                                  | 47   | 48   | 61   | 77   | -    | 48   | 48   | 19.5 | 348.5 |
| 8        | Max Twigg           | 18 & 17 | Porsche 996 GT3                                    | Twigg Waste Management Luxton Plan                             | 45   | 33   | 51   | 14   | 37   | 57   | -    | 66   | 303   |
| 9        | D'Arcy Russell      | 7       | Dodge Viper GTS ACR                                | Dupont                                                         | 34   | 31.5 | -    | 23   | -    | 117  | -    | 60   | 265.5 |
| 10       | David Reynolds      | 6 & 90  | Porsche 996 GT3 Cup Car Porsche 996 GT3            | Bob Jane T-marts Cargraphics                                   | -    | 90   | -    | -    | -    | 69   | -    | 85.5 | 244.5 |
| 11       | Allan Simonsen      | 4       | Ferrari 360 GT Porsche 996 GT3 Cup Car             | Consolidated Chemical Company Dare Shots Supabarn Supermarkets | 104  | -    | -    | 102  | -    | 30   | -    | -    | 236   |
| 12       | Paul Bolinowsky     | 45      | Porsche 996 GT3                                    | Bolin Racing                                                   | 24   | 30   | -    | -    | -    | 42   | 54   | 45   | 195   |
| 13       | Dave Stevens        | 43      | Porsche 996 GT3 Cup Car Ferrari F430 Challenge     | Bennanit Secure Telecom                                        | -    | 37.5 | -    | 45   | 72   | 36   | -    | -    | 190.5 |
| 14       | Paul Tressider      | 23      | Porsche 996 GT3 Cup Car                            | Wynn Tressider Management                                      | 29   | 22.5 | 49   | -    | -    | 45   | -    | 43.5 | 189   |
| 15       | Mark Eddy           | 12      | Porsche 996 GT3R                                   | Quarterback Shirts                                             | 41   | 15   | -    | -    | -    | 63   | -    | 52.5 | 171.5 |
| 16       | Damien Flack        | 55      | Porsche 996 GT3 Cup Car                            | Roock                                                          | -    | -    | 69   | 12   | -    | 54   | -    | 25.5 | 160.5 |
| 17       | Matthew Turnbull    | 13      | Porsche 996 GT3 Cup Car                            | PROMAT                                                         | 43   | 49.5 | 38   | -    | 27   | -    | -    | -    | 157.5 |
| 18       | Bill Pye            | 44      | Porsche 996 GT3 Cup Car                            | AutoHaus Hamilton Property Solutions Group                     | -    | 58.5 | -    | -    | -    | 39   | -    | 43.5 | 141   |
| 19       | Anthony Skinner     | 46      | Porsche 996 GT3                                    | Travelplan Ski Holiday                                         | 52   | 18   | -    | -    | -    | -    | 69   | -    | 139   |
| 20       | Andrew Luxton       | 17 & 18 | Porsche 996 GT3 Cup Car                            | Luxton Plant Twigg Waste Management                            | -    | -    | -    | -    | -    | 57   | -    | 66   | 123   |
| 21       | John Kaias          | 77      | Porsche 996 GT3 Cup Car                            | ABCOR Preston General Engine                                   | 53   | 25.5 | -    | 42   | -    | -    | -    | -    | 120.5 |
| 22       | Ian Palmer          | 20      | Honda NSX                                          | Instant Fountains Paluky Ho                                    | 25   | -    | 33   | 53   | -    | -    | -    | -    | 111   |
| 23       | Ross Lilley         | 51      | Porsche 996 GT3 Cup Car                            | Loala Furniture International                                  | 29   | 36   | -    | -    | 46   | -    | -    | -    | 111   |
