Represented	Contestant	Age	Height	Hometown
Azua	Alicia Fernández de la Cruz	23	1.69	Santo Domingo
Barahona	Lucía Magdalena Alvarado Suarez	20	1.71	Santo Domingo
Com. Dom. EU	Sandra Elisabeth Tavares Ruíz	19	1.80	Newark
Distrito Nacional	Aimeé Elaine Melo Hernández	23	1.73	Santo Domingo
Duarte	Paola Saint-Hilaire Arias	20	1.79	Santiago de los Caballeros
Espaillat	Angela María García Ruíz	26	1.77	Moca
Independencia	Joany Marleny Sosa Peralta	20	1.82	Jimaní
La Altagracia	Ana Carolina Viñas Machado	22	1.84	Santiago de los Caballeros
La Romana	Alina Charlin Espinal Luna	19	1.81	La Romana
La Vega	Catherine Mabel Ramírez Rosario	21	1.83	Santiago de los Caballeros
Monte Cristi	Grace Stephany Mota Grisanty	18	1.75	San Fernando de Monte Cristi
Peravia	Mariela Joselin Rosario Jiménez	25	1.86	Santo Domingo
Puerto Plata	Sheila Massiel Castíllo Domínguez	18	1.83	Altamira
Salcedo	Rossemely Cruz Logroño	26	1.76	Salcedo
San Cristóbal	Daniela Teresa Peguero Brito	24	1.74	Santo Domingo
Santiago	Karina Luisa Betances Cabrera	21	1.80	Santiago de los Caballeros
Santo Domingo	Yisney Lina Lagrange Méndez	19	1.82	Pedro Brand
Valverde	Fania Miguelina Marte Lozada	22	1.73	Mao
