"Year","MVP","Defensive Player of the Year","Unsung Hero","Newcomer of the Year"
"1993","Patrice Ferri","–","–","–"
"1994","Jean Harbor","–","–","–"
"1995","Lloyd Barker","–","–","–"
"1996","Paolo Ceccarelli","–","–","–"
"1997","Mauro Biello","–","–","–"
"1998","Mauro Biello","–","–","–"
"1999","N/A","–","–","–"
"2000","Jim Larkin","–","–","–"
"2001","Mauro Biello","–","–","–"
"2002","Eduardo Sebrango","Gabriel Gervais","Jason DiTullio","Zé Roberto"
"2003","Greg Sutton","Gabriel Gervais","David Fronimadis","Martin Nash"
"2004","Gabriel Gervais","Greg Sutton","Zé Roberto","Sandro Grande"
"2005","Mauro Biello","Nevio Pizzolitto","Mauricio Vincello","Masahiro Fukazawa"
"2006","Mauricio Vincello","Gabriel Gervais","Andrew Weber","Leonardo Di Lorenzo"
"2007","Leonardo Di Lorenzo","Mauricio Vincello","Simon Gatti","Matt Jordan"
"2008","Matt Jordan","Nevio Pizzolitto","Joey Gjertsen","Stefano Pesoli"
"2009","David Testo","Nevio Pizzolitto","Adam Braz","Stephen deRoux"
"2010","Philippe Billy","Philippe Billy","Tony Donatelli","Ali Gerba"
"2011","Hassoun Camara","Evan Bush","Simon Gatti","Ian Westlake /  Sinisa Ubiparipovic"
