"Date","Opposition","Result","Score","Brazil scorers","Competition"
"June 9, 1968","Uruguay","W","2-0","Tostão, Sadi","Taça Rio Branco"
"June 12, 1968","Uruguay","W","4-0","Paulo Borges, Tostão, Jairzinho, Gérson","Taça Rio Branco"
"June 16, 1968","West Germany","L","1-2","Tostão","International Friendly"
"June 20, 1968","Poland","W","6-3","Rivelino (2), Jairzinho (2), Tostão, Natal","International Friendly"
"June 23, 1968","Czechoslovakia","L","2-3","Natal, Carlos Alberto Torres","International Friendly"
"June 25, 1968","Yugoslavia","W","2-0","Carlos Alberto Torres, Tostão","International Friendly"
"June 30, 1968","Portugal","W","2-0","Rivelino, Tostão","International Friendly"
"July 7, 1968","Mexico","W","2-0","Jairzinho (2)","International Friendly"
"July 10, 1968","Mexico","L","1-2","Rivelino","International Friendly"
"July 14, 1968","Peru","W","4-3","Natal, Jairzinho, Roberto Miranda, Carlos Alberto Torres","International Friendly"
"July 17, 1968","Peru","W","4-0","Rivelino, Gérson, Tostão, Jairzinho","International Friendly"
"July 25, 1968","Paraguay","W","4-0","Pelé (2), Toninho Guerreiro, Eduardo","Taça Oswaldo Cruz"
"July 28, 1968","Paraguay","L","0-1","-","Taça Oswaldo Cruz"
"August 7, 1968","Argentina","W","4-1","Waltencir, Roberto Miranda, Paulo César Caju, Jairzinho","International Friendly"
"August 11, 1968","Argentina","W","3-2","Evaldo, Rodrigues, Dirceu Lopes","International Friendly"
"October 31, 1968","Mexico","L","1-2","Carlos Alberto Torres","International Friendly"
"November 3, 1968","Mexico","W","2-1","Pelé, Jairzinho","International Friendly"
"November 6, 1968","FIFA XI","W","2-1","Rivelino, Tostão","International Friendly (unofficial match)"
"November 13, 1968","Coritiba","W","2-1","Dirceu Lopes, Zé Carlos","International Friendly (unofficial match)"
"December 14, 1968","West Germany","D","2-2","Eduardo (2)","International Friendly"
"December 17, 1968","Yugoslavia","D","3-3","Carlos Alberto Torres, Pelé, Babá","International Friendly"
"December 19, 1968","Yugoslavia","W","3-2","Vaguinho, Amauri, Ronaldo","International Friendly"
