County	Obama%	Obama#	McCain%	McCain#	Total
Adair	49.3%	5,735	50.7%	5,891	11,626
Andrew	38.8%	3,345	61.2%	5,279	8,624
Atchison	34.1%	1,000	65.9%	1,936	2,936
Audrain	41.8%	4,434	58.2%	6,167	10,601
Barry	32.2%	4,630	67.8%	9,758	14,388
Barton	24.8%	1,455	75.2%	4,414	5,869
Bates	40.4%	3,271	59.6%	4,833	8,104
Benton	38.7%	3,629	61.3%	5,759	9,388
Bollinger	29.8%	1,690	70.2%	3,972	5,662
Boone	56.1%	47,062	43.9%	36,849	83,911
Buchanan	50.1%	19,164	49.9%	19,110	38,274
Butler	31.0%	5,316	69.0%	11,805	17,121
Caldwell	40.6%	1,814	59.4%	2,654	4,468
Callaway	40.8%	7,850	59.2%	11,389	19,239
Camden	35.6%	7,773	64.4%	14,074	21,847
Cape Girardeau	33.0%	12,208	67.0%	24,768	36,976
Carroll	34.2%	1,535	65.8%	2,955	4,490
Carter	34.8%	984	65.2%	1,840	2,824
Cass	40.1%	19,844	59.9%	29,695	49,539
Cedar	32.9%	2,060	67.1%	4,194	6,254
Chariton	43.5%	1,799	56.5%	2,339	4,138
Christian	31.9%	11,883	68.1%	25,382	37,265
Clark	46.9%	1,572	53.1%	1,782	3,354
Clay	49.7%	53,761	50.3%	54,516	108,277
Clinton	44.3%	4,545	55.7%	5,709	10,254
Cole	36.4%	13,959	63.6%	24,385	38,344
Cooper	37.9%	2,996	62.1%	4,902	7,898
Crawford	39.4%	3,911	60.6%	6,007	9,918
Dade	29.2%	1,184	70.8%	2,864	4,048
Dallas	35.2%	2,656	64.8%	4,895	7,551
Daviess	38.2%	1,400	61.8%	2,263	3,663
DeKalb	36.9%	1,692	63.1%	2,889	4,581
Dent	30.6%	2,056	69.4%	4,655	6,711
Douglas	32.7%	2,140	67.3%	4,405	6,545
Dunklin	39.2%	4,540	60.8%	7,044	11,584
Franklin	43.7%	21,256	56.3%	27,355	48,611
Gasconade	37.8%	2,899	62.2%	4,763	7,662
Gentry	38.6%	1,235	61.4%	1,964	3,199
Greene	42.0%	56,181	58.0%	77,683	133,864
Grundy	34.5%	1,580	65.5%	3,006	4,586
Harrison	33.9%	1,287	66.1%	2,512	3,799
Henry	44.4%	4,869	55.6%	6,095	10,964
Hickory	43.2%	2,171	56.8%	2,850	5,021
Holt	30.9%	802	69.1%	1,794	2,596
Howard	42.9%	2,036	57.1%	2,708	4,744
Howell	34.3%	5,736	65.7%	10,982	16,718
Iron	51.4%	2,213	48.6%	2,090	4,303
Jackson	62.8%	210,824	37.2%	124,687	335,511
Jasper	33.2%	15,730	66.8%	31,667	47,397
Jefferson	51.3%	53,467	48.7%	50,804	104,271
Johnson	43.8%	9,480	56.2%	12,183	21,663
Knox	38.5%	759	61.5%	1,212	1,971
Laclede	32.4%	5,218	67.6%	10,875	16,093
Lafayette	42.2%	6,902	57.8%	9,442	16,344
Lawrence	31.2%	5,097	68.8%	11,263	16,360
Lewis	41.5%	1,837	58.5%	2,594	4,431
Lincoln	44.2%	10,234	55.8%	12,924	23,158
Linn	45.7%	2,638	54.3%	3,140	5,778
Livingston	37.9%	2,435	62.1%	3,993	6,428
Macon	37.8%	2,784	62.2%	4,586	7,370
Madison	41.3%	2,042	58.7%	2,897	4,939
Maries	35.9%	1,599	64.1%	2,853	4,452
Marion	37.9%	4,703	62.1%	7,705	12,408
McDonald	30.9%	2,454	69.1%	5,499	7,953
Mercer	30.7%	519	69.3%	1,169	1,688
Miller	31.3%	3,553	68.7%	7,797	11,350
Mississippi	42.5%	2,247	57.5%	3,034	5,281
Moniteau	31.8%	2,084	68.2%	4,467	6,551
Monroe	40.2%	1,703	59.8%	2,533	4,236
Montgomery	40.6%	2,347	59.4%	3,428	5,775
Morgan	39.5%	3,565	60.5%	5,451	9,016
New Madrid	42.3%	3,370	57.7%	4,593	7,963
Newton	29.7%	7,450	70.3%	17,637	25,087
Nodaway	44.7%	4,493	55.3%	5,568	10,061
Oregon	40.6%	1,811	59.4%	2,652	4,463
Osage	27.4%	1,907	72.6%	5,062	6,969
Ozark	36.3%	1,661	63.7%	2,918	4,579
Pemiscot	43.4%	3,029	56.6%	3,954	6,983
Perry	35.2%	3,005	64.8%	5,527	8,532
Pettis	38.6%	6,932	61.4%	11,018	17,950
Phelps	38.7%	7,394	61.3%	11,706	19,100
Pike	45.0%	3,487	55.0%	4,268	7,755
Platte	46.7%	21,459	53.3%	24,460	45,919
Polk	33.7%	4,553	66.3%	8,956	13,509
Pulaski	35.5%	5,249	64.5%	9,552	14,801
Putnam	30.4%	695	69.6%	1,591	2,286
Ralls	40.6%	2,041	59.4%	2,987	5,028
Randolph	38.2%	3,984	61.8%	6,457	10,441
Ray	48.4%	5,241	51.6%	5,593	10,834
Reynolds	44.3%	1,417	55.7%	1,780	3,197
Ripley	34.5%	1,795	65.5%	3,407	5,202
Saline	48.7%	4,712	51.3%	4,962	9,674
Schuyler	40.5%	775	59.5%	1,139	1,914
Scotland	38.8%	793	61.2%	1,249	2,042
Scott	35.1%	6,258	64.9%	11,563	17,821
Shannon	44.1%	1,637	55.9%	2,075	3,712
Shelby	34.0%	1,114	66.0%	2,166	3,280
St. Charles	45.1%	84,183	54.9%	102,550	186,733
St. Clair	38.8%	1,886	61.2%	2,981	4,867
St. Francois	47.7%	11,540	52.3%	12,660	24,200
St. Louis City	84.4%	132,925	15.6%	24,662	157,587
St. Louis County	60.0%	333,123	40.0%	221,705	554,828
Ste. Genevieve	57.2%	4,979	42.8%	3,732	8,711
Stoddard	29.8%	3,899	70.2%	9,172	13,071
Stone	31.1%	5,029	68.9%	11,147	16,176
Sullivan	42.2%	1,173	57.8%	1,607	2,780
Taney	31.2%	6,683	68.8%	14,736	21,419
Texas	32.1%	3,410	67.9%	7,215	10,625
Vernon	38.8%	3,381	61.2%	5,334	8,715
Warren	43.6%	6,705	56.4%	8,675	15,380
Washington	50.0%	4,711	50.0%	4,706	9,417
Wayne	37.2%	2,243	62.8%	3,784	6,027
Webster	35.3%	5,685	64.7%	10,431	16,116
Worth	37.7%	427	62.3%	707	1,134
Wright	30.7%	2,557	69.3%	5,784	8,341
