Artist	Song	Soundtrack	Episode(s)	Notes
The 88	"Hard to Be You"	—	3.09	
The 88	"Hide Another Mistake"	—	3.01	
The 88	"How Good Can It Be"	Mix 1	1.09, 1.22	
A.C. Newman	"On the Table"	Mix 4	2.03	
Aaron D	"In Your Eyes"	—	1.02	
Air	"La Femme D'argent"	—	1.08	
Air	"Universal Traveler"	—	2.13	
Alan Paul	"Adios"	—	2.21	
The Album Leaf	"Another Day"	—	2.12	
The Album Leaf	"Eastern Glow"	Mix 2	2.01	
The Album Leaf	"On Your Way"	—	2.04	
The Album Leaf	"The Outer Banks"	—	2.12	
The Album Leaf	"TwentyTwoFourteen"	—	2.22, 2.24	
The Album Leaf	"Streamside"	—	2.12	
Alexi Murdoch	"All My Days"	—	4.03	
Alexi Murdoch	"Orange Sky"	Mix 1	1.11, 1.27	
Alkaline Trio	"We've Had Enough"	—	1.14	
The All-American Rejects	"Swing, Swing"	—	1.01	
All Sad Girls are Beautiful	"Baby Blue" (Badfinger cover)	—	3.03	
Ambulance LTD	"Primitive (The Way I Treat You)"	—	2.04	
Anna & Summer	"Thank You for Being a Friend"	—	1.15	
The Androids	"Do It with Madonna"	—	1.02	
APM	"Back To Ours"	—	3.12	
APM	"Dreidel Dreidel Dreidel"	—	3.10	
APM	"Here Comes the Bride"	—	1.27	
APM	"God Rest Ye Merry Gentlemen"	—	3.10	
APM	"Silent Night"	—	3.10	
April March	"Garcon Glacon"	—	4.11	
Aqualung	"Gentle"	—	1.23	
Aqualung	"Strange and Beautiful (I'll Put a Spell on You)"	—	1.10	
Aqualung	"Take Me Home"	—	1.23	
Aqueduct	"Hardcore Days & Softcore Nights"	Mix 4	2.09	
Arkarna	"House on Fire"	—	2.20	
Army Navy	"Snakes of Hawaii"	—	2.16	
Arthur Yoria	"Call Me"	—	2.17	
Ash	"Burn Baby Burn"	—	1.15	
Ashtar Command	"Into Dust" (Mazzy Star cover)	Mix 6	4.07	
Athlete	"Tourist"	—	2.12	
Audible	"Sound Makes a Circle"	—	2.20	
Azure Ray	"New Resolution"	—	1.18	
Band of Horses	"The End's Not Near" (The New Year cover)	Mix 6	4.02	
Banda Jerez	"La Chirriona"	—	4.02	
Bang Gang	"Follow"	—	2.12	
B.A.S.K.O.	"Ain't No Game"	—	3.04	
Beastie Boys	"Ch-Check It Out"	—	1.26	
Beat Phreaks	"Mi Casa"	—	2.19	
Bebel Gilberto	"Winter"	—	3.12	
Beck	"E-Pro"	—	2.15	
Beck	"Girl"	—	2.15	
Beck	"Missing"	—	2.15	
Beck	"Qué Onda Guero"	—	2.15	
Beck	"Scarecrow"	Mix 4	2.15	
Beck	"True Love Will Find You in the End" (Daniel Johnston cover)	—	2.15	
Belle & Sebastian	"If She Wants Me"	—	1.12	
Belle & Sebastian	"Song for Sunshine"	—	4.01	
Bell X1	"Eve, the Apple of My Eye"	Mix 4	2.12	
Bell X1	"In Every Sunflower"	—	2.14	
Ben Gidsoy	"Need Music"	—	4.05	
Ben Harper	"Waiting For You"	—	3.21	
Ben Kweller	"Rock of Ages"	Mix 3	—	
The Beta Band	"Assessment"	—	2.03	
Bettie Serveert	"Lover I Don't Have to Love" (Bright Eyes cover)	—	3.18	
Beulah	"Popular Mechanics for Lovers"	Mix 2	1.15	
Billy Squier	"The Stroke"	—	3.09	
The Black Eyed Peas	"Hands Up"	—	1.01	
The Black Eyed Peas	"Let's Get Retarded"	—	1.05	
Black Flag	"Wasted"	—	3.14	
The Black Keys	"10 A.M. Automatic"	—	2.10	
Black Rebel Motorcycle Club	"Open Invitation"	—	3.08	
Black Rebel Motorcycle Club	"Salvation"	—	3.03	
Black Rebel Motorcycle Club	"Shuffle Your Feet"	—	3.12	
Black Rebel Motorcycle Club	"Weight of the World"	—	3.05	
Blind Melon	"No Rain"	—	2.14	
Blue Foundation	"Get Down"	—	2.07	
Blue Foundation	"Save this Town"	—	2.07	
Bloc Party	"Banquet"	—	2.18	
Bloc Party	"Blue Light" (Engineers Anti-Gravity Mix)	—	3.01	
Bloc Party	"I Still Remember"	—	4.14	
Bloc Party	"Kreuzberg"	—	4.15	
Bloc Party	"Positive Tension"	—	2.20	
Bloc Party	"Pioneers"	—	3.24	
The Blood Arm	"Stay Put"	—	4.06	
Bob Mould	"Circles"	—	3.04	
Bob Seger	"Night Moves"	—	1.19, 1.24	
Boom Bip feat. Nina Nastasia	"The Matter (of Our Discussion)"	—	3.16	
Boyz II Men	"End of the Road"	—	2.14	
Brandtson	"Earthquakes & Sharks"	—	3.23	
Bratsound	"One Day"	—	3.23	
Brassy	"Play Some D"	—	1.04	
The Bravery	"An Honest Mistake"	—	2.24	
Brendan Benson	"What I'm Looking For"	—	2.16	
The Briefs	"Getting Hit On At The Bank"	—	3.23	
Bright Eyes	"Blue Christmas"	—	1.13	
Bromheads Jacket	"What If's And Maybe's"	—	3.18	
Brooke	"I Wanna Be Happy"	—	1.03	
Brookeville	"Walking on Moonlight"	—	1.14	
Brothers and Sisters	"Without You"	—	4.05	
Butch Walker	"Hot Girls In Good Moods"	—	4.06	
Buva	"Should I Know"	—	1.15	
Calla	"Swagger"	—	3.06	
Camera Obscura	"Keep It Clean"	—	1.25	
Car 188	"Bridal March"	—	1.27	
Carmen Rizzo (featuring Kate Havnevik)	"Travel In Time"	—	3.07	
Casiotone for the Painfully Alone	"Young Shields"	—	3.19	
Catherine Feeny	"Mr. Blue"	—	4.01	
Chad VanGaalen	"Gubbbish"	—	4.05	
Cham Pain	"Get Down"	—	2.21	
Cham Pain	"Show Me"	—	1.01	
CHAP 200	"Silent Night"	—	2.06	
Charlotte Gainsbourg	"Tel Que Tu Es"	—	4.11	
Chelo	"Voodoo"	—	4.04	
The Chemical Brothers	"Leave Home"	—	4.12	
The Chemical Brothers	"Marvo Ging"	—	2.18	
The Chemical Brothers	"Out of Control"	—	1.07	
Chingy	"Dem Jeans"	—	4.04	
Chris Holmes	"China"	—	3.20	
Chris Holmes	"I Don't Care What My Friends Say"	—	3.25	
Chris Murray	"Heartache"	—	1.23	
Christina Lux	"All the Kings Horses"	—	1.24	
The Church	"Under the Milky Way"	—	2.19	
Citizens Here & One Broad	"Appearances"	—	3.05	
Clearlake	"Good Clean Fun" (nobody remix)	—	4.06	
Client	"Come On"	—	3.09	
Clinic	"Come Into Our Room"	—	1.17	
Clinic	"The New Seeker"	—	4.16	
Cobra Verde	"Get the Party Started"	—	3.02	
Cobra Verde	"Waiting For a Girl Like You"	—	3.17	
Coconut Records	"West Coast"	—	4.10	
Coldplay	"Fix You"	—	2.23	
Commuter	"Chapters"	—	3.25	
Cooler Kids	"All Around the World"	—	1.01	
Crash My Model Car	"In Dreams"	—	3.17	
The Cribs	"Hey Scenesters!"	—	2.22	
The Crystal Method	"Born Too Slow"	—	1.22	
Daft Punk	"Technologic"	—	2.19	
Damien Jurado	"What Were the Chances"	—	4.14	
Damien Rice	"Cannonball"	—	1.17	
The Dandy Warhols	"Holding Me Up"	—	3.05	
The Dandy Warhols	"We Used to Be Friends"	Mix 1	1.12	
The Dandy Warhols	"(You Come In) Burned"	—	1.13	
David Poe	"Doxology"	—	3.10	
The Dead 60s	"You're Not the Law"	—	2.24	
Death Cab for Cutie	"A Lack of Color"	Mix 2	1.21	
Death Cab for Cutie	"A Movie Script Ending"	—	1.07, 2.20	
Death Cab for Cutie	"Soul Meets Body"	—	3.02	
Death Cab for Cutie	"The Sound of Settling"	—	2.20	
Death Cab for Cutie	"Title and Registration"	—	2.20	
The Delgados	"Everybody Come Down"	—	2.11	
Descemer	"Pa' Arriba"	—	4.02	
Diefenbach	"Favourite Friend"	—	3.13	
Digby Jones	"Under the Sea"	—	3.16, 4.05, 4.06	
Dionne Warwick and Friends	"That's What Friends Are For"	—	3.10	
Dios Malos	"Everyday"	—	3.08	
Dios Malos	"You Got Me All Wrong"	Mix 2	2.01	
Dirty Pretty Things	"Deadwood"	—	4.06	
Dirty Vegas	"Closer"	—	2.05	
Dogzilla	"Dogzilla"	—	4.08	
Dopo Yume	"The Secret Show"	—	3.20	
Doves	"Caught by the River"	Mix 1	1.02	
Dropkick Murphys	"Walk Away"	—	1.14	
Eagles of Death Metal	"Flames Go Higher"	—	3.24	
Eagles of Death Metal	"I Only Want You"	—	2.17	
Earlimart	"We Drink on the Job"	—	1.11	
Eartha Kitt	"Santa Baby"	—	1.13	
Editors	"Orange Crush" (R.E.M. cover)	—	4.04	
Eberg	"Inside Your Head"	—	4.06	
Eels	"Christmas is Going to the Dogs"	Mix 3	2.06	
