Year	Competition	Venue	Position	Notes
1999	European Junior Championships	Riga, Latvia	6th	49.65 m
2001	European U23 Championships	Amsterdam, Netherlands	10th	53.30 m
2005	Universiade	İzmir, Turkey	9th	58.29 m
2006	European Championships	Gothenburg, Sweden	15th (q)	59.54 m
2007	Universiade	Bangkok, Thailand	1st	61.55 m
2008	Olympic Games	Beijing, China	18th (q)	61.32 m
2009	World Championships	Berlin, Germany	8th	63.17 m
2010	European Championships	Barcelona, Spain	15th (q)	60.76 m
2011	World Championships	Daegu, South Korea	21st (q)	61.47 m
2012	European Championships	Helsinki, Finland	7th	62.85 m
2012	Olympic Games	London, United Kingdom	24th (q)	60.81 m
2013	World Championships	Moscow, Russia	18th (q)	59.85 m
