"Polling Firm","Month","Link","Favor","Oppose"
"Rutgers-Eagleton","March 2014","","64","28"
"Quinnipiac","July 2013","","60","31"
"Rutgers-Eagleton","June 2013","","59","30"
"Quinnipiac","March 2013","","64","30"
"Public Policy Polling","November 2012","","53","36"
"Quinnipiac","February 2012","","57","37"
"Rutgers-Eagleton","February 2012","","54","35"
"Quinnipiac","January 2012","","52","42"
"Rutgers-Eagleton","October 2011","","52","39"
"Rutgers-Eagleton","August 2011","","52","32"
"Public Policy Polling","July 2011","","47","42"
"Quinnipiac","November 2009","","46","49"
"Rutgers–Eagleton","November 2009","","50","42"
"Quinnipiac","April 2009","","49","43"
"Zogby International","August 2008","","50","42"
"Zogby International","August 2007","","48.1","44.6"
"Rasmussen Reports","July 2006","","42","54"
"Rutgers-Eagleton","June 2006","PDF","49","44"
"Zogby International","February 2006","","56","39"
"Zogby International","April 2005","HTML","54.5","40.1"
"Rutgers-Eagleton","September 2003","PDF","43","50"
"Zogby International","July 2003","","55","41"
