Name	Japanese	Distance\n(km)	Connections	Location
Okayama	岡山	0.0	Sanyō Shinkansen, Sanyō Main Line, Akō Line, Hakubi Line, Uno Line (Seto-Ōhashi Line), Tsuyama Line\nOkayama Electric Tramway: Higashiyama Line, Seikibashi Line	Kita-ku, Okayama
Bizen-Mikado	備前三門	1.9		Kita-ku, Okayama
Daianji	大安寺	3.3		Kita-ku, Okayama
Bizen-Ichinomiya	備前一宮	6.5		Kita-ku, Okayama
Kibitsu	吉備津	8.4		Kita-ku, Okayama
Bitchū-Takamatsu	備中高松	11.0		Kita-ku, Okayama
Ashimori	足守	13.4		Kita-ku, Okayama
Hattori	服部	16.2		Sōja
Higashi-Sōja	東総社	18.8		Sōja
Sōja	総社	20.4	Hakubi Line\nIbara Railway Ibara Line	Sōja
