Year	Goalkeeper	Defenders	Midfielders	Forwards
1983	Jamie Swanner, Clemson	Mike Jeffries, Duke\nDavid Masur, Rutgers\nSimon Spelling, Akron\nCheche Vidal, Boston	Michael Brady, American\nAidan McClusky, Farleigh-Dickinson\nNeil Ridgway, BGSU	Steve McLean, Philadelphia Textile\nRoy Wegerle, South Florida\nTom Kain, Duke
1984	Jeff Duback, Yale	Albert Adabe, Eastern Illinois\nAdubarie Otorubio, Clemson\nShaun Pendleton, Akron	Tony Bono, Drexel\nDale Ervine, UCLA\nAidan McCluskey, Farleigh-Dickinson	John Gaffney, Virginia\nTom Kain, Duke\nMichael King, Farleigh-Dickinson\nSam Okpodu, NC State
1985	Tim Borer, Old Dominion	Paul Caligiuri, UCLA\nShaun Pendleton, Akron\nMichael Reynolds, George Mason	John Kerr Jr., Duke\nMark Mettrick, Hartwick\nBruce Murray, Clemson	Michael Brady, American\nEric Eichmann, Clemson\nTom Kain, Duke\nSam Sumo, George Mason
1986	Jeff Duback, Yale	Paul Caligiuri, UCLA\nBenjamin Okaroh, Boston\nSteve Trittschuh, SIUE	Mark Francis, SMU\nGary Furlong, Maryland\nJohn Harkes, Virginia	John Catliff, Harvard\nGuy Furfaro, Philadelphia\nGeorge Gelnovatch, Virginia\nJohn Kerr Jr., Duke
1987	Bob Willen, Virginia	Seamus Purcell, Providence\nPaul Rutenis, Clemson\nDavid Smyth, UNC	John Harkes, Virginia\nMark Mettrick, Hartwick\nTab Ramos, NC State	Doug Allison, South Carolina\nBruce Murray, Clemson\nKen Snow, Indiana\nPeter Vermes, Rutgers
1988	Tony Meola, Virginia	Jeff Agoos, Virginia\nMarcelo Balboa, San Diego State\nKevin Grimes, SMU	Henry Gutierrez, NC State\nPat O'Kelly, Seton Hall\nMark Santel, St. Louis University	Scott Benedetti, Portland\nBrian Benedict, Duke\nKen Snow, Indiana\nJoey Valenti, Duke
1989	Tony Meola, Virginia	Kevin Grimes, SMU\nCam Rast, Santa Clara\nKevin Wylie, Vermont	David Banks, Philadelphia\nTim Martin, Fresno State\nPat O'Kelly, Seton Hall	Clark Brisson, South Carolina\nPeter Isaacs, Howard\nRobert Paterson, Evansville\nKen Snow, Indiana
1990	Kasey Keller, Portland	Jeff Agoos, Virginia\nScott Cannon, Evansville\nTom Loeber, South Carolina	Dario Brose, NC State\nChad Deering, Indiana\nMark Santel, St. Louis University	Steve Rammel, Rutgers\nKen Snow, Indiana\nBilly Thompson, UCLA\nDavid Weir, Evansville
1991	Brad Friedel, UCLA	Alexi Lalas, Rutgers\nMike Lapper, UCLA\nCam Rast, Santa Clara	Peter DiMaggio, Columbia\nGraham Merryweather, Evansville\nClaudio Reyna, Virginia	Gerell Elliott, Fresno State\nHenry Gutierrez, NC State\nManny Lagos, Milwaukee\nDante Washington, Radford
1992	Brad Friedel, UCLA	Joe Addo, George Mason\nScott Schweitzer, NC State\nHector Zamora, Seton Hall	Joe-Max Moore, UCLA\nClaudio Reyna, Virginia\nJoey Thieman, Princeton	Ben Crawley, Virginia\nRobert Martella, Bowling Green\nAlan Prampin, SMU\nRobert Ukrop, Davidson
