| Result | Encrypted | Result | Encrypted | Result | Encrypted | Result | Encrypted | Result | Encrypted |
| 0      | 57        | 19     | 108       | 38     | 113       | 57     | 91        | 76     | 79        |
| 1      | 109       | 20     | 125       | 39     | 116       | 58     | 37        | 77     | 65        |
| 2      | 60        | 21     | 82        | 40     | 121       | 59     | 92        | 78     | 49        |
| 3      | 46        | 22     | 69        | 41     | 102       | 60     | 51        | 79     | 67        |
| 4      | 84        | 23     | 111       | 42     | 114       | 61     | 100       | 80     | 66        |
| 5      | 86        | 24     | 107       | 43     | 36        | 62     | 76        | 81     | 54        |
| 6      | 97        | 25     | 78        | 44     | 40        | 63     | 43        | 82     | 118       |
| 7      | 99        | 26     | 58        | 45     | 119       | 64     | 81        | 83     | 94        |
| 8      | 96        | 27     | 35        | 46     | 101       | 65     | 59        | 84     | 61        |
| 9      | 117       | 28     | 63        | 47     | 52        | 66     | 62        | 85     | 73        |
| 10     | 89        | 29     | 71        | 48     | 123       | 67     | 85        | 86     | 95        |
| 11     | 42        | 30     | 34        | 49     | 87        | 68     | 33        | 87     | 48        |
| 12     | 77        | 31     | 105       | 50     | 80        | 69     | 112       | 88     | 47        |
| 13     | 75        | 32     | 64        | 51     | 41        | 70     | 74        | 89     | 56        |
| 14     | 39        | 33     | 53        | 52     | 72        | 71     | 83        | 90     | 124       |
| 15     | 88        | 34     | 122       | 53     | 45        | 72     | 55        | 91     | 106       |
| 16     | 126       | 35     | 93        | 54     | 90        | 73     | 50        | 92     | 115       |
| 17     | 120       | 36     | 38        | 55     | 110       | 74     | 70        | 93     | 98        |
| 18     | 68        | 37     | 103       | 56     | 44        | 75     | 104       |        |           |
