Pick	Player	Team	Position	School
1	Ben McDonald	Baltimore Orioles	RHP	Louisiana State University
2	Tyler Houston	Atlanta Braves	C	Valley HS (Las Vegas, NV)
3	Roger Salkeld	Seattle Mariners	RHP	Saugus (CA) HS
4	Jeff Jackson	Philadelphia Phillies	OF	Simeon HS (Chicago, IL)
5	Donald Harris	Texas Rangers	OF	Texas Tech University
6	Paul Coleman	Saint Louis Cardinals	OF	Frankston (TX) HS
7	Frank Thomas	Chicago White Sox	1B	Auburn University
8	Earl Cunningham	Chicago Cubs	OF	Lancaster (SC) HS
9	Kyle Abbott	California Angels	LHP	Long Beach State University
10	Charles Johnson	Montreal Expos	C	Westwood HS (Fort Pierce, FL)
11	Calvin Murray	Cleveland Indians	3B	W.T. White High School (Dallas, TX)
12	Jeff Juden	Houston Astros	RHP	Salem (MA) HS
13	Brent Mayne	Kansas City Royals	C	Cal State Fullerton
14	Steve Hosey	San Francisco Giants	OF	Fresno State University
15	Kiki Jones	Los Angeles Dodgers	RHP	Hillsborough HS (Tampa, FL)
16	Greg Blosser	Boston Red Sox	OF	Sarasota (FL) HS
17	Cal Eldred	Milwaukee Brewers	RHP	University of Iowa
18	Willie Greene	Pittsburgh Pirates	SS	Jones County HS (Gray, GA)
19	Eddie Zosky	Toronto Blue Jays	SS	Fresno State University
20	Scott Bryant	Cincinnati Reds	OF	University of Texas
21	Greg Gohr	Detroit Tigers	RHP	Santa Clara University
22	Tom Goodwin	Los Angeles Dodgers	OF	Fresno State University
23	Mo Vaughn	Boston Red Sox	1B	Seton Hall University
24	Alan Zinter	New York Mets	C	University of Arizona
25	Chuck Knoblauch	Minnesota Twins	2B	Texas A&M University
26	Scott Burrell	Seattle Mariners	RHP	Hamden (CT) HS
