"Date","Opponent","Score","Result","Record"
"May 19","San Antonio","81-72","Win","1-0"
"May 23","@ Seattle","87-100","Loss","1-1"
"May 25","Houston","111-85","Win","2-1"
"May 29","Sacramento","76-75","Win","3-1"
"May 31","@ San Antonio","97-85","Win","4-1"
"June 2","@ Connecticut","67-76","Loss","4-2"
"June 3","@ New York","82-83","Loss","4-3"
"June 5","Minnesota","85-90","Loss","4-4"
"June 7","Chicago","80-66","Win","5-4"
"June 9","@ Sacramento","74-70","Win","6-4"
"June 13","@ Washington","69-86","Loss","6-5"
"June 15","@ Indiana","89-78","Win","7-5"
"June 20","Washington","101-106","Loss","7-6"
"June 22","Detroit","84-87","Loss","7-7"
"June 24","Houston","90-85","Win","8-7"
"June 30","@ Houston","92-75","Win","9-7"
"July 3","@ Minnesota","95-79","Win","10-7"
"July 6","Connecticut","111-109 (2OT)","Win","11-7"
"July 8","@ Detroit","82-111","Loss","11-8"
"July 11","San Antonio","77-87","Loss","11-9"
"July 17","Seattle","89-79","Win","12-9"
"July 20","Los Angeles","77-87","Loss","12-10"
"July 22","Minnesota","106-93","Win","13-10"
"July 25","@ Minnesota","103-79","Win","14-10"
"July 27","@ Chicago","98-96","Win","15-10"
"July 29","Indiana","80-75","Win","16-10"
"July 31","@ Houston","76-74","Win","17-10"
"August 2","@ San Antonio","84-79","Win","18-10"
"August 4","@ Seattle","101-111","Loss","18-11"
"August 7","@ Los Angeles","96-93","Win","19-11"
"August 9","New York","97-86","Win","20-11"
"August 11","Los Angeles","100-83","Win","21-11"
"August 17","@ Sacramento","101-91","Win","22-11"
"August 19","Sacramento","87-73","Win","23-11"
"August 24 (First Round, Game 1)","@ Seattle","101-84","Win","1-0"
"August 26 (First Round, Game 2)","Seattle","95-89","Win","2-0"
"August 30 (West Finals, Game 1)","@ San Antonio","102-100","Win","3-0"
"September 1 (West Finals, Game 2)","San Antonio","98-92","Win","4-0"
"September 5 (WNBA Finals, Game 1)","@ Detroit","100-108","Loss","4-1"
"September 8 (WNBA Finals, Game 2)","@ Detroit","98-70","Win","5-1"
"September 11 (WNBA Finals, Game 3)","Detroit","83-88","Loss","5-2"
"September 13 (WNBA Finals, Game 4)","Detroit","77-76","Win","6-2"
"September 15 (WNBA Finals, Game 5)","@ Detroit","108-92","Win","7-2"
