"Year","Title","Role","Notes"
"1978","Things We Did Last Summer","Paul Oberon","TV Movie"
"1979","Working Stiffs","Heimlich","3 episodes"
"1980","The Flintstone Comedy Hour","Freaky Frankenstone","Voice
Episode: \"RV Fever/Birthday Boy/Clownfoot/Fred Goes Ape/Flying Mouse/Ghost-sitters\""
"1980","Steve Martin: Comedy Is Not Pretty","Unnamed Terrorist","Reubens played an unnamed terrorist that shoplifted nuclear weapons fuel from a convenience store in a skit in this Steve Martin comedy special."
"1980","Steve Martin: All Commercials","Multiple Roles","Reubens played multiple roles in multiple skits in this Steve Martin comedy special."
"1981","Mork & Mindy","Dickie Nimitz","Episode: \"Long Before We Met\""
"1981","The Pee-wee Herman Show","Pee-wee Herman","TV Movie"
"1982","Madame's Place","Pee-Wee Herman","Episode: \"Episode #1.34\""
"1984","Faerie Tale Theatre","Pinocchio","Episode: \"Pinocchio\""
"1985","Saturday Night Live","Pee-wee Herman","Host
Episode: \"Pee-wee Herman/Queen Ida & The Bon Temps Zydeco Band\""
"1986–1990","Pee-wee's Playhouse","Pee-wee Herman","Creator, writer, director of 3 episodes
Daytime Emmy Award for Outstanding Achievement in Art Direction/Set Direction/Scenic Design (1988)
Daytime Emmy Award for Outstanding Achievement in Graphics and Title Design (1991)
Nominated - Daytime Emmy Award for Outstanding Performer in Children's Programming (1987, 1988, 1990, 1991)
Nominated - Daytime Emmy Award for Outstanding Children's Series (1987, 1990, 1991)
Nominated - Daytime Emmy Award for Outstanding Directing in Children's Programming (1988, 1990, 1991)
Nominated - Daytime Emmy Award for Outstanding Achievement in Art Direction/Set Decoration/Scenic Design (1989, 1990, 1991)
Nominated - Daytime Emmy Award for Outstanding Writing in a Children's Series (1987, 1988)"
"1988","Sesame Street","Pee-wee Herman","Episode:\"Put Down the Duckie\""
"1995–1997","Murphy Brown","Andrew J. Lansing III","6 episodes
Nominated - Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series (1995)"
"2000","Everyone Loves Raymond","Russell","Episode: \"Hackidu\""
"2001","Ally McBeal","Louis","Episode: \"Cloudy Skies, Chance of Parade\""
"2002","Rugrats","Hermie the Elf","Voice
Episode: \"Babies in Toyland\""
"2005","Tripping the Rift","God
Devil","Voice
Episode: \"Chode's Near Death-Experience\""
"2006","Campus Ladies","Drama instructor","Episode: \"Drama Class\""
"2006","Reno 911!","Rick","Episode: \"Rick's On It\""
"2006","Tom Goes to the Mayor","Paul","Voice
Episode: \"Puddins\""
"2006","Re-Animated","Golly Gopher","Voice
TV Movie"
"2007","Area 57","Alien","Unaired pilot"
"2007","30 Rock","Gerhardt Hapsburg","Episode: \"Black Tie\""
"2007","Dirt","Chuck Lafoon","3 episodes"
"2007","Tim and Eric Awesome Show, Great Job!","The Moon","Episode: \"Cats\""
"2007-2009","Chowder","Reuben","Voice
3 episodes"
"2007","Pushing Daisies","Oscar Vibenius","2 episodes"
"2009-2011","Batman: The Brave and the Bold","Bat-Mite","Voice
4 episodes"
"2010","Adventure Time","Gnome Ruler","Voice
Episode: \"Power Animal\""
"2011","The Pee-wee Herman Show","Pee-wee Herman","TV Movie
Nominated - Primetime Emmy Award for Outstanding Variety, Music or Comedy Special"
"2012–2013","Tron: Uprising","Pavel","Voice
17 episodes"
"2012","Robot Chicken DC Comics Special","The Riddler","Voice
TV Movie"
"2013","Comedy Bang! Bang!","Pee-wee Herman","Episode: \"Pee Wee Herman Wears a Halloween Costume\""
