Film	Film	Date
Kodachrome film	16 mm, daylight (ASA 10) & Type A (ASA 16)	1935–1962
Kodachrome film	8 mm, daylight (ASA 10) & Type A (ASA 16)	1936–1962
Kodachrome film	35 mm and 828, daylight & Type A	1936–1962
Kodachrome Professional film (sheets)	daylight (ASA 8) and Type B (ASA 10)	1938–1951
Kodachrome film	35 mm and 828, Type F (ASA 12)	1955–1962
Kodachrome Professional film	35 mm, Type A (ASA 16)	1956–1962
Kodak Color Print Material	Type D (slide duping film)	1955–1957
Kodachrome II film	16 mm, daylight (ASA 25) and Type A (ASA 40)	1961–1974
Kodachrome II film	8 mm, daylight (ASA 25) and Type A (ASA 40)	1961–1974
Kodachrome II film	S-8, Type A (ASA 40)	1965–1974
Kodachrome II film	35 mm and 828, daylight (ASA 25/early) (ASA 64/late)	1961–1974
Kodachrome II film	Professional, 35 mm, Type A (ASA 40)	1962–1978
Kodachrome-X film	35 mm (ASA 64)	1962–1974
Kodachrome-X film	126 format	1963–1974
Kodachrome-X film	110 format	1972–1974
Kodachrome 25 film	35 mm, daylight	1974–2001
Kodachrome 25 film	Movie film, 16 mm, daylight	1974–2002
Kodachrome 25 film	Movie film, 8 mm, daylight	1974–1992
Kodachrome 25 film	Professional film, 35 mm, daylight	1983–1999
Kodachrome 40 film	35 mm, Type A	1978–1997
Kodachrome 40 film	Movie film, 16 mm, Type A	1974–2006
Kodachrome 40 film	Movie film, S-8, Type A	1974–2005
Kodachrome 40 film	Sound Movie film, S-8, Type A	1974–1998
Kodachrome 40 film	Movie film, 8 mm, Type A	1974–1992
Kodachrome 64	35 mm, daylight	1974–2009
Kodachrome 64	126 format, daylight	1974–1993
Kodachrome 64	110 format, daylight	1974–1987
Kodachrome 64	Professional film, 35 mm, daylight	1983–2009
Kodachrome 64	Professional film, daylight, 120 format	1986–1996
Kodachrome 200	Professional film, 35 mm, daylight	1986–2004
Kodachrome 200	35 mm, daylight	1988–2007
Cine-Chrome 40A	Double Regular 8 mm, tungsten	2003–2006
