| year | deaths | # of accidents |
| 2012 | 794    | 700            |
| 2011 | 828    | 117            |
| 2010 | 1,115  | 130            |
| 2009 | 1,103  | 122            |
| 2008 | 884    | 156            |
| 2007 | 971    | 147            |
| 2006 | 1,294  | 166            |
| 2005 | 1,459  | 185            |
| 2004 | 771    | 172            |
| 2003 | 1,230  | 199            |
| 2002 | 1,413  | 185            |
| 2001 | 4,140  | 200            |
| 2000 | 1,582  | 189            |
| 1999 | 1,138  | 211            |
