"New municipality","Old municipalities","Seat"
"Gortynia","Dimitsana","Dimitsana"
"Gortynia","Vytina","Dimitsana"
"Gortynia","Iraia","Dimitsana"
"Gortynia","Kleitor","Dimitsana"
"Gortynia","Kontovazaina","Dimitsana"
"Gortynia","Langadia","Dimitsana"
"Gortynia","Trikolonoi","Dimitsana"
"Gortynia","Tropaia","Dimitsana"
"Megalopoli","Gortyna","Megalopoli"
"Megalopoli","Falaisia","Megalopoli"
"North Kynouria
(Voreia Kynouria)","North Kynouria","Astros"
"South Kynouria
(Notia Kynouria)","Leonidio","Leonidio"
"South Kynouria
(Notia Kynouria)","Kosmas","Leonidio"
"South Kynouria
(Notia Kynouria)","Tyros","Leonidio"
"Tripoli","Valtetsi","Tripoli"
"Tripoli","Korythio","Tripoli"
"Tripoli","Levidi","Tripoli"
"Tripoli","Mantineia","Tripoli"
"Tripoli","Skyritida","Tripoli"
"Tripoli","Tegea","Tripoli"
"Tripoli","Falanthos","Tripoli"
