Club performance\nSeason\nNorway	Club performance\nClub\nNorway	Club performance\nLeague\nNorway	League\nApps\nLeague	League\nGoals\nLeague	Cup\nApps\nNorwegian Cup	Cup\nGoals\nNorwegian Cup	Total\nApps\nTotal	Total\nGoals\nTotal
1996	Viking	Premier League	1	0				
1997	Viking	Premier League	13	5				
England	England	England	League	League	FA Cup	FA Cup	Total	Total
1997–98	Manchester United	Premier League	1	0	3	0		
Norway	Norway	Norway	League	League	Norwegian Cup	Norwegian Cup	Total	Total
1998	Viking	Premier League	8	3				
Sweden	Sweden	Sweden	League	League	Svenska Cupen	Svenska Cupen	Total	Total
1999	Göteborg	Allsvenskan	4	0				
England	England	England	League	League	FA Cup	FA Cup	Total	Total
1999-00	Manchester United	Premier League	0	0	0	0		
Norway	Norway	Norway	League	League	Norwegian Cup	Norwegian Cup	Total	Total
2000	Viking	Premier League	20	13				
2001	Viking	Premier League	25	14				
2002	Viking	Premier League	20	10				
2003	Viking	Premier League	25	11				
2004	Viking	Premier League	23	6				
Netherlands	Netherlands	Netherlands	League	League	KNVB Cup	KNVB Cup	Total	Total
2004–05	Groningen	Eredivisie	20	16	0	0	20	16
2005–06	Groningen	Eredivisie	29	8	5	2	34	10
2006–07	Groningen	Eredivisie	27	13	1	0	28	13
2007–08	Groningen	Eredivisie	12	6	1	0	13	6
England	England	England	League	League	FA Cup	FA Cup	Total	Total
2007–08	Fulham	Premier League	8	2	0	0	8	2
2008–09	Fulham	Premier League	21	4	3	0	24	4
2009–10	Fulham	Premier League	23	3	1	1	24	4
Norway	Norway	Norway	League	League	Norwegian Cup	Norwegian Cup	Total	Total
2010	Viking	Premier League	12	6	1	0	13	6
2011	Viking	Premier League	28	8	5	5	33	13
2012	Viking	Premier League	14	2	1	1	15	3
Fulham Total	Fulham Total	Fulham Total	52	9	4	1	56	10
Total	Norway	Norway	148	70				
Total	England	England	53	9				
Total	Sweden	Sweden	4	0				
Total	Netherlands	Netherlands	88	43				
Career total	Career total	Career total	259	111				
