"Character","Actor","Series","Notes"
"Professor Sam Ryan","Amanda Burton","Series 1-8","Sam originally lived and worked in Cambridge, but moved to London at the end of series three after she was offered the job of professor at a university. Sam departed in the first episode of series eight, \"A Time To Heal\". Sam returned home to Ireland after a member of her family was implicated in a murder."
"Dr. Trevor Stewart","William Armstrong","Series 1-3","As well as being a pathologist in his own right, Trevor was Sam's business partner, owning half of the morgue and its facilities. Trevor decided to stay in Cambridge with his friends and family when Sam accepted the professorship position at a university in London and moved away at the end of series three."
"Dr. Fred Dale","Sam Parks","Series 1-3","Fred was Sam's main assistant during post mortems and on visits to crime scenes, often identifying DNA samples at the scene of the crime, and linking them to those responsible. He was also notable for not having many speaking lines, and regularly appearing without speaking. His fate at the end of series three was not revealed."
"Dr. Harry Cunningham","Tom Ward","Series 6-15","Harry started out life as a junior doctor, who worked as an apprentice alongside Sam and Leo. However, he soon qualified as a pathologist, and has worked on equal footing with the team for a number of years. Harry was single, and lived alone, but has had several romantic relationships, including an on-off relationship with his colleague Nikki. Harry left the team to accept a professorship in New York in the episode \"And Then I Fell in Love\" at the end of series 15."
"Professor Leo Dalton","William Gaminara","Series 6-16","Leo first appeared in the episode \"The Fall Out\", where he was nothing more than a simple doctor. However, he was promoted to professor after former professor Sam Ryan left. In the episode \"Ghosts\", both his wife, Theresa, and his daughter, Cassie, are killed in a car accident. He began a relationship with fellow professor Janet Mander in \"Safe\", but ended their relationship in the episode \"Domestic\". Leo often took a strong opinion on cases and often became emotionally involved. He died in the series 16 finale 'Greater Love', when he sacrificed himself to save many others from a terrorist bomb explosion."
"Professor Janet Mander","Jaye Griffiths","Series 12-15","Janet is a psychological profiler who assists the police in cases of serial offences. She began a relationship with Leo in the episode \"Safe\", and they lived together as partners until Leo ended the relationship in \"Redhill\". She recurringly worked alongside the team to provide them with information in order to get an idea of the suspect they are looking for. Janet decided to move away from London after Leo ended their relationship."
"Dr. Charlie Gibbs","Wunmi Mosaku","Series 13","A junior doctor and lab technician, who was appointed to work with the team by Professor Dalton."
"Dr. Zak Khan","Arsher Ali","Series 14","A junior doctor who worked his forensic science apprenticeship with the team, to learn the ropes of the profession."
"Wyn Ryan","Ruth McCabe","Series 1-3","Professor Ryan's sister, who after coming over to visit her from her home in Ireland, ended up living with her on a permanent basis."
"Helen Farmer","Clare Higgins","Series 1","A superintendent, and Tom Adams' boss and mentor, who accompanied him on investigating several cases during his time in the force."
"Tom Adams","John McGlynn","Series 1","An investigator with the Cambridgeshire police force, who had an affair with Kerry Cox, before her death."
"Kerry Cox","Ruth Gemmell","Series 1","A junior trainee detective who had an affair with Tom Adams, but was later killed in a freak accident in a hospital basement."
"Marcia Evans","Janice Acquah","Series 1","A fellow junior trainee detective for the Cambridgeshire police force, who resigned after Kerry Cox's death."
"Ricky Ryan","Matthew Steer","Series 1","Wyn's son, and Sam's nephew, who regularly got into trouble and was expelled from school for very poor behaviour."
"Peter Ross","Mick Ford","Series 2","A superintendent, and an ex-boyfriend of Sam's, who believed in a strong relationship between the police and the pathology lab."
"Rachel Selway","Nicola Redmond","Series 2","Tom Adams' replacement, following his resignation from the force. She joined the team alongside junior sergeant Tony Speed."
"Tony Speed","Richard Huw","Series 2","A junior sergeant, who joined the team alongside his superior officer, Rachel Selway. He knew Mick Ross from a previous posting."
"Michael Connor","Nick Reding","Series 3-4","A detective chief inspector, and old friend of Sam's, whom she met during her junior years at university."
"Rob Bradley","Mark Letheren","Series 3-4","A detective sergeant, who as Connor's junior officer, accompanied him in investigating in the cases which he was assigned to."
"Rosemary Mason","Jane Hazlegrove","Series 6-7","The main receptionist at the Lyell Centre, before the change in focus from university department to purely commercial pathology."
