| #   | Secretary of State                       | Prime Minister | Tenure                                 |
| 1.  | Hector Louis Langevin                    | Macdonald      | July 1, 1867 – December 7, 1869        |
| 2.  | James Cox Aikins                         | Macdonald      | December 8, 1867 – November 5, 1873    |
| 3.  | David Christie                           | Mackenzie      | November 7, 1873 – January 8, 1874     |
| 4.  | Richard William Scott                    | Mackenzie      | January 9, 1874 – October 8, 1878      |
| 5.  | James Cox Aikins                         | Macdonald      | October 19, 1878 – November 7, 1880    |
| 6.  | John O'Connor                            | Macdonald      | November 8, 1880 – May 19, 1881        |
| 7.  | Joseph-Alfred Mousseau                   | Macdonald      | May 20, 1881 – July 28, 1882           |
| 8.  | Joseph Adolphe Chapleau                  | Macdonald      | July 29, 1882 – June 6, 1891           |
| 8.  | Joseph Adolphe Chapleau                  | Abbott         | June 16, 1891 – January 24, 1892       |
| 9.  | James Colebrooke Patterson               | Abbott         | January 25, 1892 – November 24, 1892   |
| 10. | John Costigan                            | Thompson       | December 5, 1892 – December 12, 1894   |
| 11. | Arthur Rupert Dickey                     | Bowell         | December 21, 1894 – March 25, 1895     |
| 12. | Walter Humphries Montague                | Bowell         | March 26, 1895 – December 20, 1895     |
| *   | Joseph Aldéric Ouimet (acting)           | Bowell         | December 21, 1895 – January 5, 1896    |
| *   | Thomas Mayne Daly (acting)               | Bowell         | January 6, 1896 – January 14, 1896     |
| 13. | Sir Charles Tupper                       | Bowell         | January 15, 1896 – April 27, 1896      |
| 13. | Sir Charles Tupper                       | as PM          | May 1, 1896 – July 8, 1896             |
| 14. | Richard William Scott                    | Laurier        | July 13, 1896 – October 8, 1908        |
| 15. | Charles Murphy                           | Laurier        | October 9, 1908 – October 6, 1911      |
| 16. | William James Roche                      | Borden         | October 10, 1911 – October 28, 1912    |
| 17. | Louis Coderre                            | Borden         | October 29, 1912 – October 5, 1915     |
| 18. | Pierre Édouard Blondin                   | Borden         | October 6, 1915 – January 7, 1917      |
| 19. | Esioff Léon Patenaude                    | Borden         | January 8, 1917 – June 12, 1917        |
| *   | Albert Sévigny (acting)                  | Borden         | June 13, 1917 – August 24, 1917        |
| 20. | Arthur Meighen                           | Borden         | August 25, 1917 – October 12, 1917     |
| 21. | Martin Burrell                           | Borden         | October 12, 1917 – December 30, 1919   |
