Month	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C (°F)	38\n(100)	40\n(104)	43\n(109)	48\n(118)	46\n(115)	45\n(113)	42.5\n(108.5)	42.5\n(108.5)	41\n(106)	39\n(102)	39\n(102)	39\n(102)	48\n(118)
Average high °C (°F)	20.7\n(69.3)	23.2\n(73.8)	26.9\n(80.4)	30\n(86)	32.2\n(90)	33.8\n(92.8)	34.8\n(94.6)	34.5\n(94.1)	31.5\n(88.7)	27.6\n(81.7)	24.1\n(75.4)	21.2\n(70.2)	28.4\n(83.1)
Daily mean °C (°F)	14.4\n(57.9)	16.6\n(61.9)	20\n(68)	23.4\n(74.1)	26.2\n(79.2)	27.9\n(82.2)	28.6\n(83.5)	28.5\n(83.3)	26.2\n(79.2)	22.4\n(72.3)	18.4\n(65.1)	15.1\n(59.2)	22.3\n(72.1)
Average low °C (°F)	8.2\n(46.8)	10\n(50)	13.2\n(55.8)	16.7\n(62.1)	20.2\n(68.4)	22\n(72)	22.3\n(72.1)	22.5\n(72.5)	20.9\n(69.6)	17.2\n(63)	12.7\n(54.9)	9.1\n(48.4)	16.3\n(61.3)
Record low °C (°F)	−7\n(19)	−7\n(19)	−1\n(30)	5\n(41)	8\n(46)	11.5\n(52.7)	11\n(52)	12.2\n(54)	2\n(36)	2\n(36)	−5\n(23)	−7.5\n(18.5)	−7.5\n(18.5)
Precipitation mm (inches)	16.6\n(0.654)	16.5\n(0.65)	19.9\n(0.783)	29.7\n(1.169)	52.3\n(2.059)	68.4\n(2.693)	43\n(1.69)	79.6\n(3.134)	150.6\n(5.929)	77.2\n(3.039)	23\n(0.91)	14.1\n(0.555)	590.9\n(23.264)
Avg. precipitation days (≥ 0.1 mm)	4.2	3.8	3.4	4.5	5.7	5.6	3.9	6.4	8.2	6.5	4.1	3.4	59.7
Avg. snowy days	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03
% humidity	67	64	58	61	66	66	63	63	69	71	68	69	65
Mean monthly sunshine hours	193	137	155	167	163	178	194	226	167	142	196	185	2,104
