Year	Single	Peak chart positions\nUS	Peak chart positions\nUS\nR&B	Peak chart positions\nAUS	Peak chart positions\nCAN	Peak chart positions\nNLD	Peak chart positions\nNZ	Peak chart positions\nUK	Certifications	Album
1992	"Happy Days"	86	13	—	—	—	—	—		Lose Control
1993	"Freak Me"	1	1	3	43	42	9	46	US: Platinum	Lose Control
1993	"Girl U for Me"	26	4	—	—	—	30	67		Lose Control
1993	"Lose Control"	26	4	—	—	—	—	—		Lose Control
1993	"It Had to Be You"	109	45	—	—	—	—	—		Lose Control
1993	"Baby It's You"	—	—	—	—	—	—	44		Lose Control
1994	"I Can Go Deep"	71	22	—	—	—	—	—		A Low Down Dirty Shame / Silk
1995	"Hooked on You"	54	12	—	—	—	11	81		Silk
1996	"Don't Rush"	91	39	—	—	—	—	—		Silk
1999	"If You (Lovin' Me)"	13	4	—	—	—	28	—	US: Gold	Tonight
1999	"Meeting in My Bedroom"	62	15	—	—	—	—	—		Tonight
1999	"Let's Make Love"	—	58	—	—	—	—	—		Tonight
2001	"We're Callin U"	—	56	—	—	—	—	—		Love Session
2001	"Ebony Eyes"	—	—	—	—	—	—	—		Love Session
2003	"Silktime"	—	—	—	—	—	—	—		Silktime
2004	"Side Show"	—	66	—	—	—	—	—		Silktime
2006	"The Secret Garden (Sweet Seduction Suite)"	—	—	—	—	—	—	—		Always and Forever
