"Month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Record high °C (°F)","15.0
(59)","18.0
(64.4)","27.0
(80.6)","32.0
(89.6)","35.0
(95)","37.2
(99)","39.0
(102.2)","37.2
(99)","36.1
(97)","31.1
(88)","26.7
(80.1)","22.0
(71.6)","39.0
(102.2)"
"Average high °C (°F)","−0.6
(30.9)","0.8
(33.4)","5.2
(41.4)","12.4
(54.3)","19.4
(66.9)","25.0
(77)","28.0
(82.4)","26.7
(80.1)","21.8
(71.2)","15.1
(59.2)","8.0
(46.4)","2.4
(36.3)","13.7
(56.7)"
"Daily mean °C (°F)","−4.4
(24.1)","−3.2
(26.2)","1.0
(33.8)","7.5
(45.5)","13.9
(57)","19.4
(66.9)","22.5
(72.5)","21.4
(70.5)","16.9
(62.4)","10.4
(50.7)","4.4
(39.9)","−1
(30)","9.1
(48.4)"
"Average low °C (°F)","−8.1
(17.4)","−7.1
(19.2)","−3.3
(26.1)","2.6
(36.7)","8.3
(46.9)","13.8
(56.8)","16.9
(62.4)","16.1
(61)","11.9
(53.4)","5.7
(42.3)","0.7
(33.3)","−4.3
(24.3)","4.4
(39.9)"
"Record low °C (°F)","−29.4
(−20.9)","−27
(−17)","−23.9
(−11)","−13.9
(7)","−2.8
(27)","1.1
(34)","5.6
(42.1)","3.0
(37.4)","−1.1
(30)","−7.8
(18)","−16.1
(3)","−27
(−17)","−29.4
(−20.9)"
"Precipitation mm (inches)","66.0
(2.598)","54.5
(2.146)","61.6
(2.425)","70.6
(2.78)","81.0
(3.189)","69.1
(2.72)","75.3
(2.965)","82.0
(3.228)","83.1
(3.272)","71.9
(2.831)","84.9
(3.343)","63.0
(2.48)","863.1
(33.98)"
"Rainfall mm (inches)","31.8
(1.252)","33.0
(1.299)","44.7
(1.76)","68.2
(2.685)","81.0
(3.189)","69.1
(2.72)","75.3
(2.965)","82.0
(3.228)","83.1
(3.272)","71.9
(2.831)","79.7
(3.138)","43.5
(1.713)","763.3
(30.051)"
"Snowfall cm (inches)","34.2
(13.46)","21.5
(8.46)","16.9
(6.65)","2.4
(0.94)","0.0
(0)","0.0
(0)","0.0
(0)","0.0
(0)","0.0
(0)","0.0
(0)","5.3
(2.09)","19.5
(7.68)","99.9
(39.33)"
"Avg. precipitation days (≥ 0.2 mm)","12.4","9.6","11.0","12.5","11.8","10.9","10.1","10.2","10.9","10.7","13.9","11.9","135.8"
"Avg. rainy days (≥ 0.2 mm)","4.9","4.5","8.0","11.7","11.8","10.9","10.1","10.2","10.9","10.7","12.7","7.7","113.9"
"Avg. snowy days (≥ 0.2 cm)","8.1","6.0","3.6","0.84","0.0","0.0","0.0","0.0","0.0","0.0","1.6","5.4","25.5"
