Name	Height\nm (ft)	Completed	Country	Location	Coordinates	Remarks
High Roller	168 (551)	2014	US	Las Vegas, Nevada	36°07′03″N 115°10′05″W﻿ / ﻿36.117402°N 115.168127°W	World's tallest since 2014
Singapore Flyer	165 (541)	2008	Singapore	Marina Centre, Downtown Core	1°17′22″N 103°51′48″E﻿ / ﻿1.289397°N 103.863231°E	World's tallest 2008-2014
Star of Nanchang	160 (525)	2006	China	Nanchang, Jiangxi	28°39′34″N 115°50′44″E﻿ / ﻿28.659332°N 115.845568°E	World's tallest 2006–2008
London Eye	135 (443)	2000	UK	South Bank, Lambeth, London	51°30′12″N 0°07′11″W﻿ / ﻿51.50334°N 0.1197821°W	World's tallest 2000–2006
Suzhou Ferris Wheel	120 (394)	2009	China	Suzhou, Jiangsu	31°18′59″N 120°42′30″E﻿ / ﻿31.3162939°N 120.7084501°E	
Melbourne Star	120 (394)	2008	Australia	Docklands, Melbourne	37°48′40″S 144°56′13″E﻿ / ﻿37.8110723°S 144.9368763°E	
Tianjin Eye	120 (394)	2008	China	Yongle Bridge, Tianjin	39°09′12″N 117°10′49″E﻿ / ﻿39.1533636°N 117.1802616°E	
Changsha Ferris Wheel	120 (394)	2004	China	Changsha, Hunan	28°10′56″N 112°58′48″E﻿ / ﻿28.1821772°N 112.9800886°E	
Zhengzhou Ferris Wheel	120 (394)	2003	China	Century Amusement Park, Henan	34°43′58″N 113°43′07″E﻿ / ﻿34.732871°N 113.718739°E	
Sky Dream Fukuoka	120 (394)	2002	Japan	Evergreen Marinoa, Fukuoka, Kyūshū	33°35′44″N 130°19′21″E﻿ / ﻿33.5956845°N 130.3225279°E	Closed September 2009
Diamond and Flower Ferris Wheel	117 (384)	2001	Japan	Kasai Rinkai Park, Tokyo, Honshū	35°38′38″N 139°51′26″E﻿ / ﻿35.6439052°N 139.8572257°E	
Star of Lake Tai [citation needed]	115 (377)	2008	China	Lake Tai, Wuxi, Jiangsu	31°31′15″N 120°15′39″E﻿ / ﻿31.5208296°N 120.260945°E	Picture
Daikanransha	115 (377)	1999	Japan	Palette Town, Odaiba, Honshū	35°37′35″N 139°46′56″E﻿ / ﻿35.6263915°N 139.7822902°E	World's tallest 1999–2000
Cosmo Clock 21 (2nd installation)	112.5 (369)	1999	Japan	Minato Mirai 21, Yokohama, Honshū	35°27′19″N 139°38′12″E﻿ / ﻿35.4553872°N 139.6367347°E	
Tempozan Ferris Wheel	112.5 (369)	1997	Japan	Osaka, Honshū	34°39′22″N 135°25′52″E﻿ / ﻿34.6561657°N 135.431031°E	World's tallest 1997–1999
Harbin Ferris Wheel	110 (361)	2003	China	Harbin, Heilongjiang	45°46′40″N 126°39′48″E﻿ / ﻿45.7776481°N 126.6634637°E	Picture
Shanghai Ferris Wheel	108 (354)	2002	China	Jinjiang Action Park, Shanghai	31°08′24″N 121°24′11″E﻿ / ﻿31.1401286°N 121.4030752°E	
Cosmo Clock 21 (1st installation)	107.5 (353)	1989	Japan	Minato Mirai 21, Yokohama, Honshū	Unknown	World's tallest 1989–1997
Space Eye	100 (328)	Unknown	Japan	Space World, Kitakyūshū, Kyūshū	33°52′18″N 130°48′36″E﻿ / ﻿33.8716939°N 130.8099014°E	Picture
Grande Roue de Paris	100 (328)	1900	France	Champ de Mars, Paris	48°51′08″N 2°17′57″E﻿ / ﻿48.852222°N 2.299167°E	World's tallest 1900–1920
Great Wheel	94 (308)	1895	UK	Earls Court, London	51°29′18″N 0°11′56″W﻿ / ﻿51.48835°N 0.19889°W	World's tallest 1895–1900
Aurora Wheel	90 (295)	Unknown	Japan	Nagashima Spa Land, Mie, Honshū	35°01′47″N 136°44′01″E﻿ / ﻿35.0298207°N 136.7336351°E	Picture
Eurowheel	90 (295)	1999	Italy	Mirabilandia, Ravenna	44°20′21″N 12°15′44″E﻿ / ﻿44.3392161°N 12.2622228°E	
Sky Wheel	88 (289)	Unknown	Taiwan	Janfusun Fancyworld, Gukeng	23°37′13″N 120°34′35″E﻿ / ﻿23.6202611°N 120.5763352°E	
Technostar\nTechnocosmos	85 (279)	?\n1985	Japan	Expoland, Osaka, Honshū (?-2009)\nExpo '85, Tsukuba, Honshū (1985-?)	34°48′14″N 135°32′09″E﻿ / ﻿34.803772°N 135.535916°E\n36°03′40″N 140°04′23″E﻿ / ﻿36.061203°N 140.073055°E	Technocosmos renamed/relocated\nWorld's tallest extant 1985–1989
The original Ferris Wheel	80.4 (264)	1893	US	Chicago (1893–1903); St. Louis (1904–06)	Ferris Wheel coordinates	World's tallest 1893–1894
