"Month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"Record high °C (°F)","38
(100)","40
(104)","43
(109)","48
(118)","46
(115)","45
(113)","42.5
(108.5)","42.5
(108.5)","41
(106)","39
(102)","39
(102)","39
(102)","48
(118)"
"Average high °C (°F)","20.7
(69.3)","23.2
(73.8)","26.9
(80.4)","30
(86)","32.2
(90)","33.8
(92.8)","34.8
(94.6)","34.5
(94.1)","31.5
(88.7)","27.6
(81.7)","24.1
(75.4)","21.2
(70.2)","28.4
(83.1)"
"Daily mean °C (°F)","14.4
(57.9)","16.6
(61.9)","20
(68)","23.4
(74.1)","26.2
(79.2)","27.9
(82.2)","28.6
(83.5)","28.5
(83.3)","26.2
(79.2)","22.4
(72.3)","18.4
(65.1)","15.1
(59.2)","22.3
(72.1)"
"Average low °C (°F)","8.2
(46.8)","10
(50)","13.2
(55.8)","16.7
(62.1)","20.2
(68.4)","22
(72)","22.3
(72.1)","22.5
(72.5)","20.9
(69.6)","17.2
(63)","12.7
(54.9)","9.1
(48.4)","16.3
(61.3)"
"Record low °C (°F)","−7
(19)","−7
(19)","−1
(30)","5
(41)","8
(46)","11.5
(52.7)","11
(52)","12.2
(54)","2
(36)","2
(36)","−5
(23)","−7.5
(18.5)","−7.5
(18.5)"
"Precipitation mm (inches)","16.6
(0.654)","16.5
(0.65)","19.9
(0.783)","29.7
(1.169)","52.3
(2.059)","68.4
(2.693)","43
(1.69)","79.6
(3.134)","150.6
(5.929)","77.2
(3.039)","23
(0.91)","14.1
(0.555)","590.9
(23.264)"
"Avg. precipitation days (≥ 0.1 mm)","4.2","3.8","3.4","4.5","5.7","5.6","3.9","6.4","8.2","6.5","4.1","3.4","59.7"
"Avg. snowy days","0.03","0","0","0","0","0","0","0","0","0","0","0","0.03"
"% humidity","67","64","58","61","66","66","63","63","69","71","68","69","65"
"Mean monthly sunshine hours","193","137","155","167","163","178","194","226","167","142","196","185","2,104"
