| City              | County(ies)                   | Population (2000 Census) | Population (2010 Census) | Class | Incorporation date |
| Abbotsford        | Clark Marathon                | 1,956                    | 2,310                    | 4th   | 1965               |
| Adams             | Adams                         | 1,831                    | 1,967                    | 4th   | 1926               |
| Algoma            | Kewaunee                      | 3,357                    | 3,167                    | 4th   | 1879               |
| Alma              | Buffalo                       | 942                      | 781                      | 4th   | 1885               |
| Altoona           | Eau Claire                    | 6,698                    | 6,706                    | 4th   | 1887               |
| Amery             | Polk                          | 2,845                    | 2,902                    | 4th   | 1919               |
| Antigo            | Langlade                      | 8,560                    | 8,234                    | 4th   | 1885               |
| Appleton          | Calumet Outagamie Winnebago   | 70,087                   | 72,623                   | 2nd   | 1857               |
| Arcadia           | Trempealeau                   | 2,402                    | 2,925                    | 4th   | 1925               |
| Ashland           | Ashland Bayfield              | 8,620                    | 8,216                    | 4th   | 1887               |
| Augusta           | Eau Claire                    | 1,460                    | 1,550                    | 4th   | 1885               |
| Baraboo           | Sauk                          | 10,711                   | 12,048                   | 3rd   | 1882               |
| Barron            | Barron                        | 3,248                    | 3,423                    | 4th   | 1887               |
| Bayfield          | Bayfield                      | 611                      | 487                      | 4th   | 1913               |
| Beaver Dam        | Dodge                         | 15,169                   | 16,243                   | 4th   | 1856               |
| Beloit            | Rock                          | 35,775                   | 36,966                   | 3rd   | 1857               |
| Berlin            | Green Lake Waushara           | 5,305                    | 5,524                    | 4th   | 1857               |
| Black River Falls | Jackson                       | 3,618                    | 3,622                    | 4th   | 1883               |
| Blair             | Trempealeau                   | 1,273                    | 1,366                    | 4th   | 1949               |
| Bloomer           | Chippewa                      | 3,347                    | 3,539                    | 4th   | 1920               |
| Boscobel          | Grant                         | 3,047                    | 3,231                    | 4th   | 1873               |
| Brillion          | Calumet                       | 2,937                    | 3,148                    | 4th   | 1944               |
| Brodhead          | Green Rock                    | 3,180                    | 3,293                    | 4th   | 1891               |
| Brookfield        | Waukesha                      | 38,649                   | 37,920                   | 2nd   | 1954               |
| Buffalo City      | Buffalo                       | 1,040                    | 1,023                    | 4th   | 1859               |
| Burlington        | Racine Walworth               | 9,936                    | 10,464                   | 4th   | 1900               |
| Cedarburg         | Ozaukee                       | 11,102                   | 11,412                   | 3rd   | 1885               |
| Chetek            | Barron                        | 2,180                    | 2,221                    | 4th   | 1891               |
| Chilton           | Calumet                       | 3,708                    | 3,933                    | 4th   | 1877               |
| Chippewa Falls    | Chippewa                      | 12,900                   | 13,679                   | 3rd   | 1840               |
| Clintonville      | Waupaca                       | 4,736                    | 4,559                    | 4th   | 1887               |
| Colby             | Clark Marathon                | 1,616                    | 1,852                    | 4th   | 1891               |
| Columbus          | Columbia Dodge                | 4,479                    | 4,991                    | 4th   | 1874               |
| Cornell           | Chippewa                      | 1,466                    | 1,467                    | 4th   | 1956               |
| Crandon           | Forest                        | 1,961                    | 1,920                    | 4th   | 1898               |
