"Rank","Title","Studio","Director","Actors","Gross"
"1.","The Sound of Music*","20th Century Fox","Robert Wise","Julie Andrews, Christopher Plummer, Charmian Carr, Nicholas Hammond, Heather Menzies, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath, Richard Haydn, Peggy Wood, Eleanor Parker, Anna Lee, Portia Nelson, Marni Nixon, Daniel Truhitte, Ben Wright","$163,214,286"
"2.","Doctor Zhivago*","Metro-Goldwyn-Mayer","David Lean","Omar Sharif, Julie Christie, Rod Steiger, Geraldine Chaplin, Alec Guinness, Ralph Richardson, Tom Courtenay, Siobhan McKenna, Rita Tushingham","$111,721,910"
"3.","Thunderball","United Artists","Terence Young","Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter, Desmond Llewelyn, Bernard Lee","$63,595,658"
"4.","Those Magnificent Men in their Flying Machines","20th Century Fox","Ken Annakin","Stuart Whitman, Sarah Miles, James Fox, Terry-Thomas, Robert Morley, Alberto Sordi, Gert Fröbe, Jean-Pierre Cassel, Irina Demick, Red Skelton, Yujiro Ishihara, Karl Michael Vogler, Dame Flora Robson, Sam Wanamaker, Gordon Jackson","$31,111,111"
"5.","That Darn Cat!","Walt Disney Productions","Robert Stevenson","Hayley Mills, Dean Jones, Dorothy Provine, Roddy McDowell, Neville Brand, Frank Gorshin, Grayson Hall, Elsa Lanchester, William Demarest, Ed Wynn","$28,068,222"
"6.","The Great Race","Warner Bros. Pictures","Blake Edwards","Tony Curtis, Jack Lemmon, Natalie Wood, Peter Falk, Keenan Wynn, Larry Storch, Dorothy Provine, Arthur O'Connell, Vivian Vance, Ross Martin, George Macready","$25,333,333"
"7.","Cat Ballou","Columbia Pictures","Elliot Silverstein","Jane Fonda, Lee Marvin, Michael Callan, Dwayne Hickman, Nat King Cole, Stubby Kaye","$20,666,667"
"8.","What's New Pussycat?","United Artists","Clive Donner","Peter Sellers, Peter O'Toole, Ursula Andress, Romy Schneider, Capucine, Woody Allen, Paula Prentiss","$18,820,000"
"9.","Shenandoah","Universal Pictures","Andrew V. McLaglen","James Stewart, Doug McClure, Glenn Corbett, Patrick Wayne, Katharine Ross, Rosemary Forsyth","$17,268,889"
"10.","Von Ryan's Express","20th Century Fox","Mark Robson","Frank Sinatra, Trevor Howard, Raffaella Carrà, Brad Dexter, Sergio Fantoni, John Leyton, Edward Mulhare, Wolfgang Preiss, James Brolin, John van Dreelen, Adolfo Celi","$17,111,111"
"11.","The Greatest Story Ever Told","United Artists","George Stevens","Max von Sydow, Jose Ferrer, Van Heflin, Charlton Heston, David McCallum, Roddy McDowell, Dorothy McGuire, Sal Mineo, Donald Pleasence, Sidney Poitier, Claude Rains, Telly Savalas, John Wayne, Shelley Winters, Ed Wynn, Carroll Baker, Martin Landau, Angela Lansbury","$15,473,333"
"12.","For a Few Dollars More","United Artists","Sergio Leone","Clint Eastwood, Lee Van Cleef, Gian Maria Volonté, Mario Brega, Luigi Pistilli, Aldo Sambrell, Klaus Kinski","$15,000,000"
"13.","The Sandpiper","Metro-Goldwyn-Mayer","Vincente Minnelli","Elizabeth Taylor, Richard Burton, Eva Marie Saint, Charles Bronson, Robert Webber","$13,691,111"
"14.","A Patch of Blue","Metro-Goldwyn-Mayer","Guy Green","Sidney Poitier, Shelley Winters, Elizabeth Hartman, Wallace Ford, Ivan Dixon","$13,500,000"
"15.","The Sons of Katie Elder","Paramount Pictures","Henry Hathaway","John Wayne, Dean Martin, Martha Hyer, Michael Anderson, Jr., Earl Holliman, Jeremy Slate, George Kennedy, Dennis Hopper","$13,333,333"
"16.","Help!","United Artists","Richard Lester","John Lennon, Paul McCartney, George Harrison, Ringo Starr, Leo McKern, Eleanor Bron, John Bluthal","$12,066,667"
"17.","How to Murder Your Wife","United Artists","Richard Quine","Jack Lemmon, Virna Lisi, Terry-Thomas, Claire Trevor","$12,000,000"
"18.","Darling","Embassy Pictures","John Schlesinger","Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga, Roland Curram, Basil Henson","$12,000,000"
"19.","The Agony and the Ecstasy","20th Century Fox","Carol Reed","Charlton Heston, Rex Harrison, Diane Cilento, Harry Andrews, Alberto Lupo, Adolfo Celi, Venantino Venantini","$8,000,000"
"20.","Do Not Disturb","20th Century Fox","Ralph Levy, George Marshall","Doris Day, Rod Taylor, Hermione Baddeley, Sergio Fantoni, Reginald Gardiner","$8,000,000"
"21.","The Spy Who Came in from the Cold","Paramount","Martin Ritt","Richard Burton, Claire Bloom, Oskar Werner, Sam Wanamaker","$7,600,000"
"22.","Ship of Fools","Columbia","Stanley Kramer","Vivien Leigh, Simone Signoret, Oskar Werner, Lee Marvin, Elizabeth Ashley, George Segal, José Greco, Michael Dunn","$7,000,000"
"23.","The Collector","Columbia","William Wyler","Terence Stamp, Samantha Eggar, Mona Washbourne","$7,000,000"
"24.","The Train","United Artists","John Frankenheimer","Burt Lancaster, Paul Scofield, Jeanne Moreau, Michel Simon","$6,800,000"
