"State","Membership","Parliament","Membership status","Represented since","Members"
"Denmark","Full","The Folketing","Sovereign state","1952","16"
"Iceland","Full","Alþingi","Sovereign state","1952","7"
"Norway","Full","The Storting","Sovereign state","1952","20"
"Sweden","Full","The Riksdag","Sovereign state","1952","20"
"Finland","Full","Eduskunta","Sovereign state","1955","18"
"Greenland","Associate","Landsting","Self-governing region of the Danish Realm","1984","2"
"Faroe Islands","Associate","Løgting","Self-governing region of the Danish Realm","1970","2"
"Åland Islands","Associate","Lagting","Self-governing region of Finland","1970","2"
"Estonia","Observers","","","",""
"Latvia","Observers","","","",""
"Lithuania","Observers","","","",""
