"Name","Country","Ambassador since","Projects and activities they support","Link"
"Ara Abramyan","Russia","15 July 2003","Dialogue among Civilizations","[1]"
"Valdas Adamkus","Lithuania","29 September 2003","Construction of Knowledge Societies","[2]"
"Mehriban Aliyeva","Azerbaijan","9 September 2004","Promotion and safeguarding of intangible cultural heritage, especially oral traditions and expressions","[3]"
"Alicia Alonso","Cuba","7 June 2002","Promotion of ballet dancing (Programme of Intangible Heritage)","[4]"
"Ivonne A-Baki","Ecuador","15 February 2010","Peace","[5]"
"Patrick Baudry","France","September 1999","Education of young people through seminars, science conferences and projects in the field","[6]"
"Pierre Bergé","France","2 July 1993","Campaign against HIV/AIDS, human rights, Cultural Heritage","[7]"
"Chantal Biya","Cameroon","14 November 2008","Education and Social Inclusion","[8]"
"Montserrat Caballé","Spain","22 April 1994","Fundraising for children in distress and victims of war","[9]"
"Pierre Cardin","France","1991","Promotion of the Chernobyl Program, creation of the Six Flags of Tolerance in 1995 and distribution in UNESCO Member States","[10]"
"Claudia Cardinale","Italy","March 2000","Promotion of women's rights, especially for women in the Mediterranean; Environment issues","[11]"
"The Princess of Hanover","Monaco","2 December 2003","Protection of children and the family, empowerment of women and girls in Africa","[12]"
"Esther Coopersmith","United States","","","[13]"
"Cheick Modibo Diarra","Mali","1998","Promotion of education, especially in sciences, sustainable development in Africa","[14]"
"Miguel Angel Estrella","Argentina","26 October 1989","Promotion of Culture of Peace and tolerance through music","[15]"
"Vigdís Finnbogadóttir","Iceland","1998","Promotion of linguistic diversity, women's rights, education","[16]"
"Princess Firyal of Jordan","Jordan","1992","Promotion of the Education for All initiative, humanitarian actions, World Heritage, women's rights, especially Arab women","[17]"
"Ivry Gitlis","Israel","1990","Support of education and Culture of Peace and Tolerance","[18]"
"Nizan Guanaes","Brazil","27 May 2011","","[19]"
"Christine Hakim","Indonesia","11 March 2008","Teacher education in South East Asia","[20]"
"Bahia Hariri","Lebanon","17 November 2000","Preservation of World Heritage, education, culture, women's rights and sustainable development in the Arab world","[21]"
"Vitaly Ignatenko","Russia","2008","Building of the capacities of the Russian language journalists and promotion of the free circulation of ideas in the Russian-speaking world","[22]"
"Jean Michel Jarre","France","24 May 1993","Protection of the environment (water, fight against desertification, renewable energies), youth and tolerance, safeguarding of World Heritage","[23]"
"Marc Ladreit de Lacharrière","France","27 August 2009","","[24]"
"Princess Lalla Meryem of Morocco","Morocco","July 2001","Protection of childhood and women's rights","[25]"
"Omer Zülfü Livaneli","Turkey","20 September 1996","Promotion of peace and polerance through music and promotion of human rights","[26]"
"Princess Maha Chakri Sirindhorn of Thailand","Thailand","24 March 2005","Empowerment of Minority Children and the Preservation of their Intangible Cultural Heritage","[27]"
"Jean Malaurie","France","17 July 2007","In charge of arctic polar issues, promoting environmental issues and safeguarding the culture and knowledge of the peoples of the Arctic","[28]"
"Keith Chatsauka-Coetzee","South Africa","12 July 2012","","[29]"
"Grand Duchess María Teresa of Luxembourg","Luxembourg","10 June 1997","Education, Women's rights, microfinance and campaign against poverty","[30]"
"Rigoberta Menchu Túm","Guatemala","21 June 1996","Promotion of Culture of Peace, protection of rights of indigenous people","[31]"
"Oskar Metsavaht","Brazil","27 May 2011","","[32]"
"Vik Muniz","Brazil","27 May 2011","","[33]"
"Kitín Muñoz","Spain","22 April 1997","Protection and promotion of indigenous cultures and their environment","[34]"
"Ute-Henriette Ohoven","Germany","1992","UNESCO Special Ambassador for Education of Children in Need","[35]"
"Cristina Owen-Jones","Italy","23 March 2004","HIV/AIDS Prevention Education Program","[36]"
"Kim Phuc Phan Thi","Vietnam","10 November 1994","Protection and education for children, orphans and innocent victims of war","[37]"
"Susana Rinaldi","Argentina","28 April 1992","Street children, Culture of Peace","[38]"
"Yazid Sabeg","Algeria","16 February 2010","","[39]"
"Sheikh Ghassan I. Shaker","Saudi Arabia","1989","Fundraising, children and women in need, victims of war, education, microfinance","[40]"
"Hayat Sindi","Saudi Arabia","1 October 2012","Promotion of science education for Arab women","[41]"
"Madanjeet Singh","India","16 November 2000","Founder of the South Asia Foundation, which promotes regional cooperation through education and sustainable development","[42]"
"Zurab Tsereteli","Georgia","30 March 1996","Cultural and artistic projects","[43]"
"Giancarlo Elia Valori","Italy","2001","Safeguarding of Intangible Heritage","[44]"
"Marianna Vardinoyannis","Greece","21 October 1999","Protection of childhood; promotion of cultural olympics; humanitarian relief for war victims","[45]"
"Milú Villela","Brazil","10 November 2004","Voluntary Action and Basic Education in Latin America","[46]"
"Forest Whitaker","United States","","","[47]"
"Sunny Varkey","India","","Promoter of education","[48]"
"Laura Welch Bush","United States","13 February 2003","UNESCO Honorary Ambassador for the Decade of Literacy in the context of the United Nations Literacy Decade (2003–2012)","[49]"
