Year	Title	Role	Notes
1991	Let Him Have It	Derek Bentley	
1992	Death and the Compass	Alonso Zunz	
1993	Anchoress	Priest	
1994	Shallow Grave	David	
1996	Jude	Jude Fawley	
1998	Elizabeth	Duke of Norfolk	
1998	A Price Above Rubies	Sender Horowitz	
1999	Heart	Gary Ellis	
1999	eXistenZ	Seminar leader	
1999	With or Without You	Vincent Boyd	
2000	Gone in 60 Seconds	Raymond Calitri	
2000	The Tyre	Salesman	Short film
2001	The Others	Charles Stewart	
2001	The Invisible Circus	Wolf	
2001	This Little Piggy	Cabbie	Short film
2002	24 Hour Party People	Boethius	
2002	I Am Dina	Leo Zhukovsky	
2002	Revengers Tragedy	Vindici	
2002	28 Days Later	Major Henry West	
2007	The Dark is Rising	The Rider	
2008	New Orleans, Mon Amour	Dr. Henry	
2009	G.I. Joe: The Rise of Cobra	James McCullen / Destro	
2009	Amelia	Fred Noonan	
2009	The Happiness Salesman	Salesman	Short film
2012	Song for Marion	James Harris	
2013	Thor: The Dark World	Malekith	
