"","Club","Played","Won","Drawn","Lost","Points For","Points Against","Points Difference","Tries For","Tries Against","Try Bonus","Losing Bonus","Points"
"1","Saracens (RU)","22","19","0","3","629","353","276","68","39","10","1","87"
"2","Northampton Saints (CH)","22","16","2","4","604","350","254","72","31","7","3","78"
"3","Leicester Tigers (SF)","22","15","2","5","542","430","112","59","41","7","3","74"
"4","Harlequins (SF)","22","15","0","7","437","365","72","43","33","4","3","67"
"5","Bath","22","14","2","6","495","388","107","48","38","4","3","67"
"6","Sale Sharks","22","12","0","10","432","399","33","46","40","3","6","57"
"7","London Wasps","22","9","0","13","451","533","-82","48","56","4","9","49"
"8","Exeter Chiefs","22","9","0","13","426","480","-54","40","51","2","7","45"
"9","Gloucester","22","8","0","14","440","539","-99","46","60","4","8","44"
"10","London Irish","22","7","0","15","396","496","-100","40","49","2","6","36"
"11","Newcastle Falcons","22","3","0","19","281","544","-263","23","62","2","8","22"
"12","Worcester Warriors (R)","22","2","0","20","325","581","-256","31","64","1","7","16"
