Year	Supporting Actor	Motion Picture	Nominees
1969	NOT AWARDED	-	
1970	Redd Foxx	Cotton Comes to Harlem	
1971	NOT AWARDED	-	
1972	NOT AWARDED	-	
1973	NOT AWARDED	-	
1974	NOT AWARDED	-	
1975	NOT AWARDED	-	
1976	NOT AWARDED	-	
1977	NOT AWARDED	-	
1978	NOT AWARDED	-	
1979	NOT AWARDED	-	
1980	NOT AWARDED	-	
1981	NOT AWARDED	-	
1982	Moses Gunn	Ragtime	
1983	NOT AWARDED	-	
1984	NOT AWARDED	-	
1985	NOT AWARDED	-	
1986	NOT AWARDED	-	
1987	NOT AWARDED	-	
1988	Denzel Washington	Power	
1989	Mario Van Peebles	Heartbreak Ridge	
1990	Arsenio Hall	Coming to America	
1991	Ossie Davis	Do the Right Thing	
1992	Denzel Washington	Glory	
1993	NOT AWARDED	-	
1994	NOT AWARDED	-	
1995	Al Freeman, Jr.	Malcolm X	Delroy Lindo- Malcolm X\nDenzel Washington- Much Ado About Nothing\nForest Whitaker- The Crying Game\nWolfgang Bodison- A Few Good Men
1996	Laurence Fishburne	Higher Learning	Charles S. Dutton- Cry, the Beloved Country\nDon Cheadle- Devil in a Blue Dress\nIce Cube- Higher Learning\nCuba Gooding Jr.- Outbreak
1997	Samuel L. Jackson	A Time to Kill	Blair Underwood- Set it Off\nCharles S. Dutton- A Time to Kill\nDelroy Lindo- Ransom\nForest Whitaker- Phenomenon
1998	Morgan Freeman	Amistad	Clarence Williams III- Hoodlum\nDanny Glover- The Rainmaker\nDon Cheadle- Rosewood\nVondie Curtis-Hall- Eve's Bayou
1999	Morgan Freeman	Deep Impact	Andre Braugher- City of Angels\nChris Rock- Lethal Weapon 4\nCuba Gooding Jr.- What Dreams May Come\nDon Cheadle- Bulworth
2000	Terrence Howard	The Best Man	Charles S. Dutton- Cookie's Fortune\nClarence Williams III- The General's Daughter\nHarold Perrineau- The Best Man\nLL Cool J- Deep Blue Sea
2001	Blair Underwood	Rules of Engagement	Ving Rhames- Mission: Impossible II\nMorgan Freeman- Nurse Betty\nWood Harris- Remember the Titans\nBilly Dee Williams- The Visit
2002	Jamie Foxx	Ali	Mario Van Peebles- Ali\nVing Rhames- Baby Boy\nCedric the Entertainer- Kingdom Come\nAnthony Anderson-Two Can Play That Game
2003	Denzel Washington	Antwone Fisher	Boris Kodjoe-Brown Sugar\nMos Def-Brown Sugar\nCedric the Entertainer-Barbershop\nAnthony Anderson-Barbershop
2004	Morgan Freeman	Bruce Almighty	Djimon Hounsou-In America\nForest Whitaker-Phone Booth\nBernie Mac-Head of State\nCharles S. Dutton-Gothika
2005	Morgan Freeman	Million Dollar Baby	Jamie Foxx-Collateral\nC.J. Sanders-Ray\nClifton Powell-Ray\nDon Cheadle-Ocean's Twelve
2006	Terrence Howard	Crash	Ludacris-Crash\nLarenz Tate-Crash\nDon Cheadle-Crash\nAnthony Anderson-Hustle & Flow
2007	Djimon Hounsou	Blood Diamond	Eddie Murphy-Dreamgirls\nDanny Glover-Dreamgirls\nHarry Belafonte-Bobby\nJaden Smith-The Pursuit of Happyness
2008	Denzel Whitaker	The Great Debaters	Nate Parker-The Great Debaters\nChiwetel Ejiofor-Talk to Me\nTyler Perry-Why Did I Get Married?\nForest Whitaker-The Great Debaters
2009	Columbus Short	Cadillac Records	Dev Patel-Slumdog Millionaire\nNate Parker-The Secret Life of Bees\nCedric the Entertainer-Cadillac Records\nMos Def-Cadillac Records
2010	Adam Rodriguez	I Can Do Bad All by Myself	Anthony Mackie-The Hurt Locker\nChiwetel Ejiofor-2012\nDanny Glover-2012\nLenny Kravitz-Precious
2011	Samuel L. Jackson	Mother and Child	Idris Elba-Takers\nDon Cheadle-Brooklyn's Finest\nMichael Ealy-For Colored Girls\nJustin Timberlake-The Social Network
2012	Mike Epps	Jumping the Broom	Anthony Mackie – The Adjustment Bureau\nCharles Parnell – Pariah\nDon Cheadle – The Guard\nJeffrey Wright – The Ides of March
2013	Samuel L. Jackson	Django Unchained	Lenny Kravitz – The Hunger Games\nDon Cheadle – Flight\nDavid Oyelowo – Middle of Nowhere\nDwight Henry-Beasts of the Southern Wild
2014	David Oyelowo	Lee Daniels' The Butler	Terrence Howard - Lee Daniels' The Butler\nCuba Gooding Jr. - Lee Daniels' The Butler\nTerrence Howard - The Best Man Holiday\nMorris Chestnut - The Best Man Holiday
