Launch Date	STS Number	Payload Name	Payload Classification	Experiment\nName	Payload Carrier Hardware
03/22/82	3	GAS, FVP	GAS	GAS, FVP	Adapter Beam
06/27/82	4	G-001	GAS	G-001	Adapter Beam
11/11/82	5	G-026	GAS	G-026	Adapter Beam
04/04/83	6	G-005\nG-049\nG-381	GAS	G-005\nG-049\nG-381	Adapter Beam
06/18/83	7	G-002\nG-088\nG-009\nG-012\nG-033\nG-305\nG-345	GAS	G-002\nG-088\nG-009\nG-012\nG-033\nG-305\nG-345	Adapter Beam
08/30/83	8	G-346\nG-347\nG-348\nG-475	GAS	G-346\nG-347\nG-348\nG-475	Adapter Beam
02/03/84	10 (41-B)	G-004\nG-008\nG-051\nG-309\nG-349	GAS	G-004\nG-008\nG-051\nG-309\nG-349	Adapter Beam
10/05/84	13 (41-G)	G-007\nG-013\nG-032\nG-038\nG-074\nG-306\nG-469\nG-518	GAS	G-007\nG-013\nG-032\nG-038\nG-074\nG-306\nG-469\nG-518	Adapter Beam
04/12/85	16 (51-D)	G-035\nG-471	GAS	G-035\nG-471	Adapter Beam
04/29//85	17 (51-B)	G-010\nG-308	GAS	G-010\nG-308	Adapter Beam
06/17/85	18 (51-G)	G-025\nG-027\nG-028\nG-034\nG-314\nG-471	GAS	G-025\nG-027\nG-028\nG-034\nG-314\nG-471	Adapter Beam
10/30/85	22 (61-A)	G-308	GAS	G-308	Adapter Beam
11/26/85	23 (61-B)	G-479	GAS	G-479	Adapter Beam
01/12/86	24 (61-C)	HHG-1	Hitchhiker	Particle Analysis Cameras for\nthe\nShuttle (PACS)\nCapillary Pump\nLoop (CPL)	Hitchhiker Bridge
01/12/86	24 (61-C)	GBA-1	GAS Bridge Assembly-1	G-007\nG-062\nG-310\nG-332\nG-446\nG-449\nG-462\nG-463\nG-464\nG-470\nG-481\nG-494	GAS Assembly Bridge (GBA)
08/08/89	28	G-335\nG-341	GAS	G-335\nG-341	Adapter Beam
10/18/89	34	Shuttle Solar Background Ultraviolet (SSBUV-01)	Adapter Beam	Shuttle Solar Background\nUltraviolet\n(SSBUV)	Adapter Beam
12/02/90	35	Broad Band X-Ray Telescope (BBXRT)	HH	Broad Band X-Ray Telescope\n\n(BBXRT)	Adapter Beam
04/28/91	39	<acronym title="Multi- Purpose Experiment Canister">MPEC</acronym>-01	CAP	Multi- Purpose Experiment Canister\n(MPEC)	Adapter Beam
04/28/91	39	<acronym title="Space Test Payload">Space\nTest Payload (STP)-1</acronym>	HH	Advanced Liquid\nFeed Experiment (ALFE), <acronym title="McDonnell Douglas Astronautics Company">MDAC</acronym>-<acronym title="mission-dependent equipment">MDE</acronym>/<acronym title="Air Force Astronautics Laboratory">AFAL</acronym>\nData Systems Experiment (DSE), <acronym title="National Aeronautics and Space Administration">NASA</acronym><acronym title="Goddard Space Flight Center">GSFC</acronym>\nSpacecraft Kinetic Infrared Test\n(SKIRT) -Circular Variable Filter\n(CVF) / GLOS\nUltraviolet Limb Imaging Experiment (UVLIMB), <acronym title="Naval Research Laboratory">\nNRL</acronym>/<acronym title="United states air force">USAF</acronym>\nSpaceTest Program	Hitchhiker Bridge
06/05/91	40	GBA-2	GAS	G-021\nG-052\nG-091\nG-105\nG-286\nG-405\nG-408\nG-451\nG-455\nG-486\nG-507\nG-616	GBA
01/22/92	42	GBA-3	GAS Bridge Assembly-3	G-086\nG-140\nG-143\nG-329\nG-336\nG-337\nG-457\nG-609\nG-610\nG-614	GBA
08/02/91	43	TPCE-01	CAP	TPCE-01	Adapter Beam
03/24/92	45	G-229	GAS	G-229	Adapter Beam
