| Name of President             | Picture                         | Life span                          | Year of Presidency | Place of Conference        |
| Womesh Chunder Bonnerjee      |                                 | 29 December 1844 – 1906            | 1885               | Bombay                     |
| Dadabhai Naoroji              |                                 | 4 September 1825 – 1917            | 1886               | Calcutta                   |
| Badruddin Tyabji              |                                 | 10 October 1844 – 1906             | 1887               | Madras                     |
| George Yule                   |                                 | 1829–1892                          | 1888               | Allahabad                  |
| William Wedderburn            |                                 | 1838–1918                          | 1889               | Bombay                     |
| Pherozeshah Mehta             | 75px                            | 4 August 1845 – 1915               | 1890               | Calcutta                   |
| Anandacharlu                  |                                 | August 1843– 1908                  | 1891               | Nagpur                     |
| Womesh Chunder Bonnerjee      |                                 | 29 December 1844 – 1906            | 1892               | Allahabad                  |
| Dadabhai Naoroji              |                                 | 4 September 1848 – 1925            | 1893               | Lahore                     |
| Alfred Webb                   |                                 | 1834–1908                          | 1894               | Madras                     |
| Surendranath Banerjee         |                                 | 10 November 1848 – 1925            | 1895               | Poona                      |
| Rahimtulla M. Sayani          |                                 | 5 April 1847 – 1902                | 1896               | Calcutta                   |
| C. Sankaran Nair              |                                 | 11 July 1857 – 1934                | 1897               | Amraoti                    |
| Anandamohan Bose              |                                 | 23 September 1847 – 1906           | 1898               | Madras                     |
| Romesh Chunder Dutt           |                                 | 13 August 1848 – 1909              | 1899               | Lucknow                    |
| N. G. Chandavarkar            |                                 | 2 December 1855 – 1923             | 1900               | Lahore                     |
| Dinshaw Edulji Wacha          |                                 | 2 August 1844 – 1936               | 1901               | Calcutta                   |
| Surendranath Banerjee         |                                 | 10 November 1825 – 1917            | 1902               | Ahmedabad                  |
| Lalmohan Ghosh                |                                 | 1848–1909                          | 1903               | Madras                     |
| Henry Cotton                  |                                 | 1845–1915                          | 1904               | Bombay                     |
| Gopal Krishna Gokhale         |                                 | 9 May 1866 – 1915                  | 1905               | Benares                    |
| Dadabhai Naoroji              |                                 | 4 September 1825 – 1917            | 1906               | Calcutta                   |
| Rashbihari Ghosh              |                                 | 23 December 1845 – 1921            | 1907               | Surat                      |
| Rashbihari Ghosh              |                                 | 23 December 1845 – 1921            | 1908               | Madras                     |
| Madan Mohan Malaviya          |                                 | 25 December 1861 – 1946            | 1909               | Lahore                     |
| William Wedderburn            |                                 | 1838–1918                          | 1910               | Allahabad                  |
| Bishan Narayan Dar            |                                 | 1864–1916                          | 1911               | Calcutta                   |
| Raghunath Narasinha Mudholkar |                                 | 1857–1921                          | 1912               | Bankipur                   |
| Nawab Syed Muhammad Bahadur   |                                 | ?- 1919                            | 1913               | Karachi                    |
| Bhupendra Nath Bose           |                                 | 1859–1924                          | 1914               | Madras                     |
| Lord Satyendra Prasanna Sinha |                                 | March 1863– 1928                   | 1915               | Bombay                     |
| Ambica Charan Mazumdar        |                                 | 1850–1922                          | 1916               | Lucknow                    |
| Annie Besant                  |                                 | 1 October 1847 – 1933              | 1917               | Calcutta                   |
| Madan Mohan Malaviya          |                                 | 25 December 1861 – 1946            | 1918               | Delhi                      |
| Syed Hasan Imam               |                                 | 31 August 1871 – 1933              | 1918               | Bombay (Special Session)   |
