Año	Title	Role	Channel	Notes
1994	Inconquistable corazón	Victoria	Canal 9	
1995	Dulce Ana	Verónica Iturbe Montalbán	Canal 9	
1996	90-60-90 modelos	Lucía Peralta	Canal 9	
1997	Ricos y famosos	Valeria García Méndez de Salerno	Canal 9	
1998-1999	Muñeca brava	Milagros 'Mili' Esposito-Di Carlo de Miranda (Cholito/Carlitos)	Telefe	Nominated – Martin Fierro – Best Actress\nWon – Viva 2000 Israel – Best Actress\nWon – Gold Otto (Czech Republic) – Best actress\nWon – Otto (Poland) – Best actress\nWon – Story awards (Hungary) – Best foreign star\nWon – E! Entertainment television – Celebrity of the year
2002	Kachorra	Antonia Guerrero (Kachorra), alias Rosario Achával	Telefe	Nominated – Martin Fierro – Best TV comedy actress
2004	El Deseo	Carmen	Telefe	
2005	Botines	Renée	Canal 13	in "Bailarina en rosa y verde" episode
2006	Sos mi vida	Esperanza "La Monita" Muñoz	Canal 13	Won – Martin Fierro – Best comedy actress
2007	Patito feo	Patricia González	Canal 13	Guest appearance
2008	Amanda O	Amanda O	on internet\nand\nAmérica Televisión	Martin Fierro – Leading Actress in a Comedy Program
2008	Recurso Natural		Canal 7	Host
2010	Se dice de mi		Canal Encuentro	Host
2011	Cuando me sonreís	Leonora Bellami	Telefe	Guest appearance
2012-2013	Lynch	Isabel Reyes alias Mariana	Moviecity	
2013	Solamente Vos	Aurora Andrés	Canal 13	Won – Tato Awards Best lead actress in comedy
