#	Name	Height	Weight (lbs.)	Position	Class	Hometown	Previous Team(s)
1	Aaron Johnson	5'8"	185	G	Sr.	Chicago, IL, U.S.	Hubbard HS
3	Anthony Criswell	6'9"	230	F	Fr.	Oklahoma City, OK, U.S.	Douglass High School
4	Jamarr Sanders	6'4"	210	G	Sr.	Montgomery, AL, U.S.	Jeff Davis High School\nNW Florida CC
5	Robert Williams	6'4"	210	G	Fr.	Greenville, MS, U.S.	Weston High School
10	Karl Moton	5'11"	195	G	So.	Stone Mountain, GA, U.S.	Chamblee HS
21	Beas Hamga	6'11"	230	C	Jr.	Douala, Cameroon	Weatherford (Texas) CC
22	Cameron Moore	6'10"	230	F	Jr.	San Antonio, TX, U.S.	Roosevelt HS
23	Dexter Fields	6'2"	205	G	So.	Orlando, FL, U.S.	Olympia HS
24	Preston Purifoy	6'5"	215	G	Fr.	Conway, AR, U.S.	Conway High School
32	Ovie Soko	6'8"	210	F	So.	London, England, U.K.	Bethel HS
2	Mike Jones	6'1"	185	G	Sr.	Nashville, TN, U.S.	Hunters Lane High School
25	Quincy Taylor	6'0"	185	G	Fr.	Wichita, KS, U.S.	Wichita Collegiate High School
44	Jordan Swing	6'6"	200	F	So.	Birmingham, AL, U.S.	Western Kentucky University
