"Sl no","Name of the prabandham","Starting from","Ending with","Number of pasurams","Sung by"
"1","Periazhvar Thirumozhi","1","473","473","Periyalvar"
"2","Thiruppavai","474","503","30","Aandaal"
"3","Nachiar Tirumozhi","504","646","143","Aandaal"
"4","Perumal Thirumozhi","647","751","105","Kulasekara alvar"
"5","Thiruchchanda Viruththam","752","871","120","Thirumalisai alvar"
"6","Thirumalai","872","916","45","Thondaradippodi alvar"
"7","Thiruppalliyezhuchchi","917","926","10","Thondaradippodi alvar"
"8","Amalanadhi piran","927","936","10","Thiruppaan alvar"
"9","Kanni Nun Siruththambu","937","947","11","Madhurakavi Alvar"
"10","Peria Thirumozhi","948","2031","1084","Thirumangai alvar"
"11","Kurun Thandagam","2032","2051","20","Thirumangai alvar"
"12","Nedum Thandagam","2052","2081","30","Thirumangai alvar"
"13","Mudhal Thiruvandhadhi","2082","2181","100","Poigai Alvar"
"14","Irandam Thiruvandhadhi","2182","2281","100","Bhoothathalvar"
"15","Moonram Thiruvandhadhi","2282","2381","100","Peyalvar"
"16","Naanmugan Thiruvandhadhi","2382","2477","96","Thirumalisai alvar"
"17","Thiruviruththam","2478","2577","100","Nammalvar"
"18","Thiruvasiriyam","2578","2584","7","Nammalvar"
"19","Peria Thiruvandhadhi","2585","2671","87","Nammalvar"
"20","Thiruvezhukkurrirukkai","2672","2672","1","Thirumangai alvar"
"21","Siriya Thirumadal","2673","2673","1","Thirumangai alvar"
"22","Peria Thirumadal","2674","2674","1","Thirumangai alvar"
"23","Thiruvay Mozhi","2674","3776","1102","Nammalvar"
"","Total number of pasurams","","","3776",""
