Wager	Winner	Loser	Location	Date
Hair	Comando Ruso	Gran Cochisse	Guadalajara, Jalisco	Unknown
Hair	Calavera I	Gran Cochisse	Guadalajara, Jalisco	Unknown
Hair	Gran Cochisse	Manuel Robles	Mexico City, Mexico	Unknown
Hair	Gran Cochisse	Bruno Victoria	Mexico City, Mexico	Unknown
Hair	Gran Cochisse	El Nazi	Mexico City, Mexico	Unknown
Hair	Gran Cochisse	Franco Colombo	Mexico City, Mexico	Unknown
Hairs	Calavera I and Calavera II	Gran Cochisse and Águila India	Guadalajara, Jalisco	1979
Hair	Gran Cochisse	Américo Rocca	Mexico City, Mexico	September 21, 1979
Hair	Sangre Chicana	Gran Cochisse	Mexico City, Mexico	October 19, 1979
Hairs	Américo Rocca and Divino Roy	Gran Cochisse and Águila India	Mexico City, Mexico	April 3, 1981
Hair	Chamaco Valaguez	Gran Cochisse	Mexico City, Mexico	July 1981
Hair	Gran Cochisse	Leo López	Mexico City, Mexico	January 30, 1983
Hair	Gran Cochisse	Mocho Cota	Mexico City, Mexico	March 25, 1983
Hair	Águila India	Gran Cochisse	Mexico City, Mexico	July 30, 1983
Hair	Gran Cochisse	Mocho Cota	Mexico City, Mexico	September 9, 1983
Hair	Enfermero Jr.	Gran Cochisse	Mexico City, Mexico	September 30, 1983
Hairs	Américo Rocca and Gran Cochisse	Comando Ruso I and Comando Ruso II	Mexico City, Mexico	July 17, 1984
Hair	El Dandy	Gran Cochisse	Mexico City, Mexico	December 1985
Hair	Remo Banda	Gran Cochisse	Mexico City, Mexico	May 5, 1990
