"Game","Day","Date","Kickoff","Opponent","Results
Score","Results
Record","Location","Attendance"
"1","Saturday","November 9","7:05pm","at Detroit Waza","W 8–7 (OT)","1–0","Melvindale Civic Center","545"
"2","Sunday","November 10","3:05pm","at Cleveland Freeze","L 3–11","1–1","Soccer Sportsplex","703"
"3","Saturday","November 16","7:35pm","Detroit Waza","L 5–8","1–2","Farm Show Arena","1,605"
"4","Saturday","November 23","7:05pm","Cleveland Freeze","L 7–10","1–3","Farm Show Arena","1,050"
"5","Saturday","November 30","7:05pm","Cincinnati Saints","W 8–6","2–3","Farm Show Arena","1,458"
"6","Saturday","December 21","7:05pm","Detroit Waza†","W 9–8","3–3","Farm Show Arena","1,590"
"7","Sunday","December 22","4:05pm","at Cleveland Freeze","L 4–12","3–4","Soccer Sportsplex","431"
"8","Saturday","December 28","7:05pm","Cleveland Freeze†","L 5–12","3–5","Farm Show Arena","1,581"
"9","Saturday","January 11","7:35pm","at Cincinnati Saints","L 8–9","3–6","Tri-County Soccerplex","421"
"10","Sunday","January 12","3:05pm","at Detroit Waza","L 6–12","3–7","Melvindale Civic Center","356"
"11","Saturday","January 18","7:05pm","Cincinnati Saints","W 10–5","4–7","Farm Show Arena","2,209"
"12","Friday","January 24","7:05pm","Chicago Mustangs","L 7–13","4–8","Farm Show Arena","1,895"
"13","Saturday","January 25","7:05pm","Chicago Mustangs","L 5–12","4–9","Farm Show Arena","2,373"
"14","Saturday","February 8","8:35pm","at Illinois Piasa","L 3–4","4–10","The Field Sports Complex","206"
"15","Sunday","February 9","5:05pm","at Chicago Mustangs","L 3–14","4–11","Grand Sports Arena","748"
"16","Sunday","February 16","4:05pm","at Dallas Sidekicks","L 3–13","4–12","Allen Event Center","4,207"
