"Medal","Name","Sport","Event"
"Silver","","Badminton","Men's team"
"Silver","Aparna Popat","Badminton","Women's singles"
"Silver","Jitender Kumar","Boxing","Middleweight"
"Silver","Jaspal Rana","Shooting","Men's 25 m Air Pistol"
"Silver","Jaspal Rana
Satendra Kumar","Shooting","Men's Air Pistol pairs"
"Silver","Dharmaraj Wilson","Weightlifting","Men's 56 kg-Combined"
"Silver","Arumugam K. Pandian","Weightlifting","Men's 56 kg-Snatch"
"Silver","Arumugam K. Pandian","Weightlifting","Men's 56 kg-Clean and jerk"
"Silver","Satheesha Rai","Weightlifting","Men's 77 kg-Clean and jerk"
"Silver","Satheesha Rai","Weightlifting","Men's 77 kg-Combined"
