"Year","Game","Developer","Setting","Platform","Notes"
"1963","Intopia","","Modern","Various",""
"1973","Lemonade Stand","MECC","Modern","Mainframe, APPII","Created in 1973, ported to Apple II in 1979"
"1980","Windfall: The Oil Crisis Game","David Mullich","Modern","APPII",""
"1982","Airline","CCS","Modern","ZX, BBC",""
"1982","Autochef","CCS","Modern","ZX",""
"1982","Dallas","CCS","Modern","ZX, BBC",""
"1982","Inheritance","Simon Hessel Software","Modern","BBC",""
"1982","J.R.","Software for All","Modern","BBC",""
"1983","Bankrupt","KW Software","Modern","ZX",""
"1983","British Lowland","CCS","Modern","ZX",""
"1983","Business Games","Acornsoft","Modern","BBC","Contains Stokmark and Telemark."
"1982","Corn Cropper","CCS","Modern","ZX",""
"1983","M.U.L.E.","Ozark","Sci-fi","APPII, ATR, C64, MSX, NES, PC88, PCJR",""
"1983","Oil Barons","Epyx","Modern","APPII, C64, DOS",""
"1984","Dodgy Dealer","O.I. Consultants Ltd","Modern","ZX, BBC",""
"1984","Millionaire","Incentive Software","Modern","ZX, BBC",""
"1984","Mugsy","Melbourne House","Historical","ZX",""
"1984","The Biz","Virgin Games","Modern","ZX",""
"1985","Make Millions","Tom Snyder Productions","Modern","MAC",""
"1985","Stockmarket","Amsoft/Argus Press Software","Modern","CPC",""
"1986","Mugsy's Revenge","Beam","Historical","C64, ZX","Sequel to Mugsy."
"1987","Earth Orbit Stations","Karl Buiter","Sci-fi","APPII, C64",""
"1987","Ports of Call","Aegis","Historical","AMI, DOS",""
"1988","Fugger, Die","Ballhaus","Historical","AMI, C64","First title in the series."
"1989","Black Gold (a.k.a. Oil Imperium)","reLINE","Historical","AMI, C64, DOS, ST",""
"1990","Big Business","DigiTek","Modern","AMI, DOS, ST",""
"1990","Sid Meier's Railroad Tycoon","MicroProse","Historical","AMI, DOS, MAC, ST","First title in the series."
"1991","Mad TV","Rainbow","Modern","AMI, DOS","First title in the series."
"1991","Merchant Colony","Impressions","Historical","AMI, DOS, ST",""
"1992","A-Train","Artdink","Modern","AMI, DOS, MAC, PS1",""
"1992","Aerobiz","Koei","Modern","GEN, SNES",""
"1992","Patrician, The","Ascaron","Historical","AMI, DOS, ST","First title in the series."
"1993","Aerobiz Supersonic","Koei","Modern","GEN, SNES","Sequel to Aerobiz."
"1993","Buzz Aldrin's Race into Space","Strategic","Historical","DOS",""
"1993","Detroit","Impressions","Historical","AMI, DOS",""
"1993","DinoPark Tycoon","MECC, Manley & Associates","Sci-fi","3DO, DOS, MAC, WIN",""
"1993","Merchant Prince","Holistic","Historical","DOS",""
"1993","Sid Meier's Railroad Tycoon Deluxe","MicroProse","Historical","DOS","Re-release of Sid Meier's Railroad Tycoon."
"1993","SimFarm","Maxis","Modern","DOS, MAC, WIN3X",""
"1994","Gazillionaire","LavaMind","Modern","WIN, ONLINE",""
"1994","Airlines","Interactivision","Modern","DOS",""
"1994","Planer, Der","Greenwood","Modern","DOS",""
"1994","Flamingo Tours","Sayonara","Modern","AMI, DOS",""
"1994","Hanse: Die Expedition","Ascaron","Historical","AMI, DOS",""
"1994","Mad News","Ikarion","Modern","AMI, DOS",""
"1994","Motor City(a.k.a. Oldtimer in Germany)","Max Design","Historical","DOS",""
"1994","Pizza Tycoon (a.k.a. Pizza Connection)","Software 2000","Modern","AMI, DOS, WIN","First title in the series."
"1994","SimHealth","Thinking Tools","Modern","DOS",""
"1994","SimTower","OPeNBooK","Modern","MAC, WIN3X, WIN9X",""
"1994","Theme Park","Bullfrog","Modern","3DO, AMI, DOS, DS, GEN, MAC, JAG, PS1, SAT, SCD, SNES",""
"1994","Transport Tycoon","Chris Sawyer","Modern","DOS, PS1",""
"1995","Capitalism","Enlight","Modern","DOS, MAC",""
"1995","Elisabeth I.","Ascaron","Historical","DOS",""
"1995","Hillsea Lido","Vulcan","Modern","AMI",""
"1995","Kaiser Deluxe","Linel","Historical","DOS, WIN","Remake of Kaiser."
"1995","Kosmos","AK","Sci-fi","DOS",""
"1995","Machiavelli: The Prince","Holistic","Historical","DOS",""
"1995","Transport Tycoon Deluxe","Chris Sawyer","Modern","DOS, WIN9X, PS1","Remake of Transport Tycoon."
"1995","SimIsle: Missions in the Rainforest","Maxis","Modern","DOS, Windows 3.x, Mac OS",""
"1996","Zapitalism","LavaMind","Fantasy","WIN",""
"1996","Capitalism Plus","Enlight","Modern","WIN","Remake of Capitalism."
"1996","Fugger II, Die","Sunflowers","Historical","DOS, WIN","Sequel to Die Fugger."
"1996","Harvest Moon","Pack-In-Video","Fantasy","GBC, SNES, VC","First title in the series."
"1996","Mad TV 2","Greenwood","Modern","DOS","Sequel to Mad TV."
"1997","Entrepreneur","Stardock","Modern","WIN","First title in the series."
"1997","Harvest Moon GB","Victor","Fantasy","GB, GBC",""
"1997","Herrscher der Meere","NovaTrix","Historical","DOS",""
"1997","Hollywood Mogul","Hollywood Mogul Co.","Modern","WIN",""
