Rank	Bib	Country	Distance (m)	Points	Time difference
1	14	Germany\nTino Edelmann\nEric Frenzel	124.5\n127.0	264.3\n128.0\n136.3	0:00
2	10	Japan\nAkito Watabe\nTaihei Kato	123.5\n126.0	258.4\n126.4\n132.0	+0:12
3	12	Austria\nBernhard Gruber\nWilhelm Denifl	123.0\n122.0	251.8\n123.3\n128.5	+0:25
4	11	France\nJason Lamy-Chappuis\nSébastien Lacroix	120.5\n118.5	242.7\n121.8\n120.9	+0:43
5	13	Norway\nMikko Kokslien\nMagnus Moan	118.0\n118.5	238.1\n116.8\n121.3	+0:52
6	8	Czech Republic\nMiroslav Dvořák\nPavel Churavý	114.5\n120.0	232.8\n110.7\n122.1	+1:03
7	7	Slovenia\nMitja Oranič\nMarjan Jelenko	109.5\n123.5	227.8\n99.5\n128.3	+1:13
8	6	Finland\nIlkka Herola\nEetu Vähäsöyrinki	120.5\n113.5	226.6\n115.4\n111.2	+1:15
9	4	Estonia\nHan-Hendrik Piho\nKail Piho	113.0\n113.0	217.5\n107.4\n110.1	+1:34
10	9	United States\nBill Demong\nTaylor Fletcher	111.0\n112.5	214.1\n104.9\n109.2	+1:40
11	1	Ukraine\nViktor Pasichnyk\nVitaliy Kalinichenko	107.0\n115.0	206.2\n95.7\n110.5	+1:56
12	2	Russia\nErnest Yahin\nIvan Panin	110.0\n109.5	204.8\n101.8\n103.0	+1:59
13	5	Italy\nArmin Bauer\nAlessandro Pittin	105.0\n113.5	203.0\n92.7\n110.3	+2:03
14	3	Switzerland\nSeppi Hurschler\nTim Hug	102.5\n113.0	196.2\n88.1\n108.1	+2:16
