"Date","Time","Opponent","Site","TV","Result","Attendance","Record"
"11/09/2013*","2:00 PM","Indiana Institute of Technology","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","W 74–51","369","1–0"
"11/13/2013*","6:30 PM","at Northwestern","Welsh-Ryan Arena • Evanston, IL","BTND","L 33–64","375","1–1"
"11/16/2013*","1:00 PM","at Miami (OH)","Millett Hall • Oxford, OH","","L 39–55","406","1–2"
"11/18/2013*","7:00 PM","at Nebraska–Omaha","Lee & Helene Sapp Fieldhouse • Omaha, NE","","L 62–76","356","1–3"
"11/23/2013*","2:00 PM","IUPUI","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 47–68","381","1–4"
"11/26/2013*","7:00 PM","Purdue Calumet","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 62–68","279","1–5"
"12/01/2013*","2:00 PM","Western Michigan","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 49–67","242","1–6"
"12/06/2013*","3:30 PM","vs. Valparaiso","Savage Arena • Toledo, OH
(Toledo Invitational)","","L 50–74","N/A","1–7"
"12/07/2013*","1:00 PM","vs. Detroit","Savage Arena • Toledo, OH
(Toledo Invitational)","","L 64–85","N/A","1–8"
"12/20/2013*","6:00 PM","at Southern Illinois","SIU Arena • Carbondale, IL","","W 55–51","405","2–8"
"12/29/2013*","2:00 PM","Wright State","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 62–84","235","2–9"
"12/31/2013*","2:00 PM","Loyola","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 63–77","316","2–10"
"01/02/2014","7:00 PM","Seattle","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 58–85","202","2–11 (0–1)"
"01/04/2014","2:00 PM","Idaho","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 42–92","200","2–12 (0–2)"
"01/08/2014*","7:00 PM","Indiana Northwest","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","W 68–50","212","3–12"
"01/11/2014","2:00 PM","at UMKC","Municipal Auditorium • Kansas City, MO","","L 60–83","380","3–13 (0–3)"
"01/16/2014","7:00 PM","at New Mexico State","Pan American Center • Las Cruces, NM","","L 61–82","942","3–14 (0–4)"
"01/18/2014","7:00 PM","at Texas–Pan American","UTPA Fieldhouse • Edinburg, TX","","L 44–66","382","3–15 (0–5)"
"01/23/2014","7:00 PM","Cal State Bakersfield","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 59–90","263","3–16 (0–6)"
"01/25/2014","2:00 PM","Utah Valley","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 46–72","211","3–17 (0–7)"
"01/30/2014","8:00 PM","at Grand Canyon","GCU Arena • Phoenix, AZ","Cox7","L 53–84","581","3–18 (0–8)"
"02/08/2014","2:00 PM","UMKC","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 52–84","201","3–19 (0–9)"
"02/13/2014","7:00 PM","Texas–Pan American","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 52–75","207","3–20 (0–10)"
"02/15/2014","2:00 PM","New Mexico State","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","L 64–74","230","3–21 (0–11)"
"02/20/2014","8:00 PM","at Utah Valley","UCCU Center • Orem, UT","","L 62–84","191","3–22 (0–12)"
"02/22/204","3:00 PM","at Cal State Bakersfield","Icardo Center • Bakersfield, CA","","L 58–99","213","3–23 (0–13)"
"03/01/2014","2:00 PM","Grand Canyon","Emil and Patricia Jones Convocation Center • Chicago, IL","CSU TV","","",""
"03/06/2014","8:00 PM","at Idaho","Cowan Spectrum • Moscow, ID","","","",""
"03/08/2014","6:00 PM","at Seattle","Connolly Center • Seattle, WA","","","",""
"03/12-03/15/2014","TBA","vs.","Orleans Arena • Las Vegas, NV","","","",""
