Year	Winner	Jockey	Trainer	Owner	Distance\n(Miles)	Time	Win $
2013	Alterlite (FR)	John R. Velazquez	Chad C. Brown	Martin S. Schwartz	1-1/8	1:50.55	$500,000
2012	Samitar	Ramon Dominguez	Chad C. Brown	Martin S. Schwartz	1-1/8	1:48.74	$180,000
2011	Winter Memories	Javier Castellano	James J. Toner	Phillips Racing Partnership	1-1/8	1:51.06	$150,000
2010	Check the Label	Ramon Dominguez	H. Graham Motion	Lael Stables	1-1/8	1:51.41	$150,000
2009	Miss World	Cornelio Velasquez	Christophe Clement	Waratah Thoroughbreds	1-1/8	1:53.55	$180,000
2008	Backseat Rhythm	Javier Castellano	Patrick L. Reynolds	Paul P. Pompa Jr.	1-1/8	1:51.82	$150,000
2007	Alexander Tango	Shaun Bridgmohan	Tommy Stack	Noel O' Callaghan	1-1/8	1:48.97	$120,000
2006	Magnificent Song	Garrett Gomez	Todd A. Pletcher	Parrish,Malcolm,Edward	1-1/8	1:48.48	$150,000
2005	Luas Line	John Velazquez	David Wachman	Evelyn M. Stockwell	1-1/8	1:45.62	$180,000
2004	Lucifer's Stone	Jose A. Santos	Linda L. Rice	Team Solaris Stable	1-1/8	1:48.88	$180,000
2003	Indy Five Hundred	Pat Day	Robert Barbara	Georgica Stable	1-1/8	1:48.44	$150,000
2002	Wonder Again	Edgar Prado	James J. Toner	Joan G. & John W. Phillips	1-1/8	1:47.33	$150,000
2001	Voodoo Dancer	Corey Nakatani	Christophe Clement	Green Hills Farms	1-1/8	1:47.69	$150,000
2000	Gaviola	Jerry D. Bailey	William H. Turner, Jr.	Twilite Farms	1-1/8	1:48.89	$150,000
1999	Perfect Sting	Pat Day	Joseph Orseno	Stronach Stable	1-1/8	1:49.41	$129,900
1998	Pharatta-IR	Corey Nakatani	Carlos Laffon-Parias	Hinojosa Dario	1-1/8	1:47.10	$129,720
1997	Auntie Mame	Jerry D. Bailey	Angel Penna, Jr.	Lazy F Ranch	1-1/8	1:48.49	$128,040
1996	True Flare	Gary L. Stevens	Robert J. Frankel	Juddmonte Farms	1-1/16	1:42.58	$128,460
1995	Perfect Arc	John Velazquez	Angel Penna, Jr.	Brazil Stables	1-1/16	1:42.35	$101,070
1994	Jade Flush	Robbie Davis	Nicholas P. Zito	Condren, et al.	1-1/16	1:46.79	$67,140
1993	Sky Beauty	Mike E. Smith	H. Allen Jerkens	Georgia E. Hofmann	1	1:35.76	$68,400
1992	November Snow	Chris Antley	H. Allen Jerkens	Earle I. Mack	1	1:35.91	$66,480
1991	Dazzle Me Jolie	Jose A. Santos	Willard J. Thompson	Jolie Stanzione	1	1:35.61	$72,000
1990	Aishah	Jose A. Santos	Flint S. Schulhofer	Helen K. Groves	1	1:35.40	$57,690
1989	Highest Glory	Jose A. Santos	D. Wayne Lukas	H. Joseph Allen	1	1:37.20	$70,440
1988	Topicount	Angel Cordero, Jr.	H. Allen Jerkens	Centennial Farms	1	1:38.00	$82,260
1987	Personal Ensign	Randy Romero	Claude R. McGaughey III	Ogden Phipps	1	1:36.60	$82,140
1986	Life At The Top	Chris McCarron	D. Wayne Lukas	Lloyd R. French	1	1:34.40	$51,210
1985	Kamikaze Rick	Angel Cordero, Jr.	John Parisella	Theodore M. Sabarese	1	1:36.00	$50,490
1984	Given	Matthew Vigliotti	Alfino Pepino	Ronald S. Green	1-1/16	1:43.40	$42,960
1983	Pretty Sensible	Alfredo Smith, Jr.	George Travers	John Zervas	1	1:37.80	$33,600
1982	Nafees	Jorge Velasquez	Richard T. DeStasio	Albert Fried, Jr.	1	1:38.40	$33,120
1981	Banner Gala	Angel Cordero, Jr.	Angel Penna, Sr.	Ogden Phipps	1	1:35.60	$33,900
1980	Mitey Lively	Jorge Velasquez	Douglas R. Peterson	Tayhill Stable	1	1:36.40	$33,480
1979	Danielle B.	Ruben Hernandez	John O. Hertler	Our Precious Stable	1-1/16	1:45.40	$33,000
1978	Late Bloomer	Jorge Velasquez	John M. Gaver, Jr.	Greentree Stable	1-1/16	1:41.60	
