#	Date	Venue	Opponent	Score	Result	Competition
1.	10 October 2004	Estadio Cuscatlán, San Salvador, El Salvador	El Salvador	2–0	2–0	2006 FIFA World Cup qualification
2.	13 October 2004	RFK Stadium, Washington, D.C., United States	Panama	3–0	6–0	2006 FIFA World Cup qualification
3.	13 October 2004	RFK Stadium, Washington, D.C., United States	Panama	4–0	6–0	2006 FIFA World Cup qualification
4.	13 October 2004	RFK Stadium, Washington, D.C., United States	Panama	5–0	6–0	2006 FIFA World Cup qualification
5.	17 November 2004	Columbus Crew Stadium, Columbus, United States	Jamaica	1–0	1–1	2006 FIFA World Cup qualification
6.	9 February 2005	Queen's Park Oval, Port of Spain, Trinidad	Trinidad and Tobago	1–0	2–1	2006 FIFA World Cup qualification
7.	19 March 2005	University Stadium, Albuquerque, United States	Honduras	1–0	1–0	Friendly
8.	30 March 2005	Legion Field, Birmingham, United States	Guatemala	1–0	2–0	2006 FIFA World Cup qualification
9.	19 February 2006	Pizza Hut Park, Frisco, United States	Guatemala	3–0	4–0	Friendly
10.	9 June 2007	The Home Depot Center, Carson, United States	Trinidad and Tobago	2–0	2–0	2007 CONCACAF Gold Cup
11.	28 June 2007	Estadio José Pachencho Romero, Maracaibo, Venezuela	Argentina	1–0	1–4	2007 Copa América
12.	15 June 2008	The Home Depot Center, Carson, United States	Barbados	6–0	8–0	2010 FIFA World Cup qualification
13.	12 October 2012	Sir Vivian Richards Stadium, Antigua, Antigua and Barbuda	Antigua and Barbuda	1–0	2–1	2014 FIFA World Cup qualification
14.	12 October 2012	Sir Vivian Richards Stadium, Antigua, Antigua and Barbuda	Antigua and Barbuda	2–1	2–1	2014 FIFA World Cup qualification
15.	12 June 2013	CenturyLink Field, Seattle, United States	Panama	2–0	2–0	2014 FIFA World Cup qualification
16.	21 July 2013	M&T Bank Stadium, Baltimore, United States	El Salvador	3–1	5–1	2013 CONCACAF Gold Cup
17.	24 July 2013	Cowboys Stadium, Arlington, United States	Honduras	1–0	3–1	2013 CONCACAF Gold Cup
18.	14 August 2013	Asim Ferhatović Hase Stadium, Sarajevo, Bosnia and Herzegovina	Bosnia and Herzegovina	1–2	4–3	Friendly
19.	10 September 2013	Columbus Crew Stadium, Columbus, United States	Mexico	1–0	2–0	2014 FIFA World Cup qualification
