"Place","Code","Area (km2)","Population","Most spoken language"
"Beatrix Mine","40701","0.17","2,492","Sotho"
"Boipatong","40702","0.31","1,501","Sotho"
"Brandfort","40703","3.20","1,516","Afrikaans"
"Fora","40704","0.05","530","Sotho"
"Ikgomotseng","40705","1.07","2,254","Tswana"
"Joel Mine","40706","0.11","728","Sotho"
"Lusaka","40707","1.40","6,110","Sotho"
"Majwemasweu","40708","2.50","10,328","Sotho"
"Makeleketla","40709","1.35","6,629","Sotho"
"Masilo","40710","3.02","14,903","Sotho"
"Star Diamond Mine","40712","0.11","212","Sotho"
"Theunissen","40713","15.11","1,667","Afrikaans"
"Tshepong","40714","0.54","1,710","Sotho"
"Verkeerdevlei","40715","1.22","151","Afrikaans"
"Winburg","40716","70.22","3,371","Sotho"
"Remainder of the municipality","40711","6,696.44","10,304","Sotho"
