"Year","Winners","Score","Runners up","Notes"
"1946","Walsall Wood","7-2","Rugeley W.M.C.",""
"1947","Wellington Town Reserves","4-1","Walsall Wood",""
"1948","Bilston Town","2-0","Halesowen",""
"1949","Bilston Town","1-0","Oswestry Town",""
"1950","Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown","Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown","Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown","Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown"
"1951","Bloxwich Strollers","1-0","Walsall Wood","after extra time"
"1952","Walsall Wood","1-0","Walsall Trinity",""
"1953","Walsall Wood","1-0","Ogley Hay","after extra time"
"1954","Shelfield Athletic","1-0","Lower Gornal Athletic",""
"1955","Shelfield Athletic","5-1","Walsall Trinity",""
"1956","Shelfield Athletic","2-0","Ogley Hay",""
"1957","Walsall Trinity","3-1","Walsall Wood",""
"1958","Walsall Wood","3-0","Stourbridge",""
"1959","Shelfield Athletic","4-0","Walsall Wood",""
"1960","Shelfield Athletic","3-0","Walsall Wood",""
"1961","Walsall Wood","7-0","Rugeley Villa",""
"1962","Walsall Wood","5-1","Blakenall",""
"1963","Armitage","2-1","Blakenall",""
"1964","Blakenall","3-0","Hednesford Town",""
"1965","Rushall Olympic","2-1","Brereton Social",""
"1966","Lower Gornal Athletic","4-2","Kidderminster Harriers","after extra time"
"1967","Wrockwardine Wood","2-1","Rushall Olympic","Replay, 1st game 2-2 aet"
"1968","Wrockwardine Wood","2-1","Tamworth",""
"1969","Bilston Town","2-1","Lichfield",""
"1970","Atherstone Town","4-3","Wrockwardine Wood","Aggregate score,
1st leg 1-2, 2nd leg 3-1"
"1971","Baddesley Colliery","4-3","Atherstone Town","Aggregate score,
1st leg 2-2, 2nd leg 2-1"
"1972","Bilston Town","4-1","Brereton Social","Second replay,
1st game 2-2 aet, 2nd game 2-2 aet"
"1973","Bilston Town","1-0","Darlaston",""
"1974","Brereton Social","3-2","Warley County Borough","after extra time"
"1975","Blakenall","2-1","Armitage",""
"1976","Blakenall","1-0","Hednesford Town",""
"1977","Blakenall","1-0","Bilston Town","Replay, 1st game 0-0 aet"
"1978","Sutton Coldfield Town","2-0","Alvechurch",""
"1979","Sutton Coldfield Town","1-0","Great Wyrley",""
"1980","Sutton Coldfield Town","1-0","Rushall Olympic",""
"1981","Blakenall","2-1","Sutton Coldfield Town","Replay, 1st game 1-1 aet"
"1982","Oldbury United","5-0","Walsall Wood","Replay, 1st game 2-2 aet"
"1983","Coleshill Town","4-3","Wolverhampton United",""
"1984","Atherstone Town","4-0","Tividale",""
"1985","Harrisons","2-0","Wolverhampton United",""
"1986","Paget Rangers","3-1","Wolverhampton Casuals",""
"1987","Boldmere St. Michaels","2-0","Bloxwich Town",""
"1988","Redgate United","1-0","Chasetown","after extra time"
"1989","Blakenall","1-0","Rushall Olympic",""
"1990","Meir KA","2-1","Rushall Olympic","Replay, 1st game 0-0 aet"
"1991","Chasetown","1-0","Blakenall","after extra time"
"1992","Armitage 90","3-2","Meir KA","after extra time"
"1993","Chasetown","3-1","Pelsall Villa",""
"1994","Newcastle Town","1-0","Oldbury United","after extra time"
"1995","Newcastle Town","1-1","Knypersley Victoria","after extra time,
Newcastle won on penalties"
"1996","Blakenall","0-0","Newcastle Town","after extra time,
Blakenall won on penalties"
"1997","Bloxwich Town","1-1","Blakenall","after extra time,
Bloxwich won on penalties"
"1998","Blakenall","2-1","Halesowen Harriers",""
"1999","Blakenall","3-2","Meir KA",""
"2000","Rushall Olympic","2-2","Rocester","after extra time,
Rushall won 5-4 on penalties"
"2001","Wolverhampton Casuals","2-0","Sutton Coldfield Town",""
"2002","Bolehall Swifts","4-4","Tividale","after extra time,
Bolehall won 4-3 on penalties"
"2003","Tividale","1-0","Rocester","after extra time"
"2004","Sutton Coldfield Town","3-1","Tividale",""
"2005","Chasetown","2-1","Tividale",""
"2006","Boldmere St Michaels","1-0","Tipton Town",""
"2007","Boldmere St Michaels","3-1","Goodrich",""
