"Title","Year","Director","Country","Genre","Notes"
"101 Rent Boys","2000","Fenton Bailey, Randy Barbato","United States","Documentary",""
"101 Reykjavík","2000","Baltasar Kormákur","Iceland","Comedy",""
"And Then Came Summer","2000","Jeff London","United States","Drama",""
"Before Night Falls","2000","Julian Schnabel","United States","Drama",""
"Benjamin Smoke","2000","Jem Cohen
Template:Peter Sillen","United States","Documentary",""
"Between Two Women","2000","Steven Woodcock","England","Drama",""
"Big Eden","2000","Thomas Bezucha","United States","Romantic drama",""
"Billy Elliot","2000","Stephen Daldry","England
 France","Comedy drama",""
"Borstal Boy","2000","Peter Sheridan","England
 Ireland","Romantic drama",""
"A Boy Named Sue","2000","Julie Wyman","United States","Documentary",""
"The Broken Hearts Club: A Romantic Comedy","2000","Greg Berlanti","United States","Romantic comedy drama",""
"Burnt Money","2000","Marcelo Piñeyro","Argentina","Crime thriller",""
"Chuck & Buck","2000","Miguel Arteta","United States","Comedy drama",""
"Citizens of Perpetual Indulgence","2000","Alex Monty Canawati","United States","Drama",""
"Common Ground","2000","Donna Deitch","United States","Drama",""
"Confusion of Genders","2000","Ilan Duran Cohen","France","Romantic comedy drama",""
"Daughters of the Sun","2000","Maryam Shahriar","Iran","Drama",""
"Doors Cut Down","2000","Antonio Hens","Spain","Short comedy","aka En malas compañías"
"Drift","2000","Quentin Lee","Canada","Drama, romance, comedy",""
"Drôle de Félix","2000","Olivier Ducastel, Jacques Martineau","France","Comedy drama","aka The Adventures of Felix"
"Eban and Charley","2000","James Bolton","England
 United States","Drama",""
"Faites comme si je n'étais pas là","2000","Olivier Jahan","France","Drama",""
"Fleeing by Night","2000","Hsu Li Kong, Chi Yin","Taiwan
 China","Romantic drama",""
"Forbidden Fruit","2000","Sue Maluwa-Bruce","Germany
 Zimbabwe","Short",""
"Get Your Stuff","2000","Max Mitchell","United States","Comedy drama",""
"The Girl","2000","Sande Zeig","United States
 France","Romantic drama",""
"Her or Him","2000","Benjamin Beaulieu","France","Romance",""
"If These Walls Could Talk 2","2000","Jane Anderson, Martha Coolidge, Anne Heche","United States","Romantic drama",""
"An Intimate Friendship","2000","Angela Evers Hughey","United States","Romance, drama",""
"The Iron Ladies (Satree lek)","2000","Youngyooth Thongkonthun","Thailand","Comedy","Based on a true story of a gay/transgender volleyball team. Stars Jesdaporn Pholdee."
"Just a Question of Love","2000","Christian Faure","France
 Belgium","Drama",""
"Km. 0","2000","Yolanda García Serrano, Juan Luis Iborra","Spain","Romantic comedy drama",""
"The Legend of Rita","2000","Volker Schlöndorff","Germany","Romantic drama",""
"Marlene","2000","Joseph Vilsmaier","Germany
 Italy","Biography Drama Music",""
"Mercy","2000","Damian Harris","United States","Mystery, thriller",""
"The Monkey's Mask","2000","Samantha Lang","Australia","Crime thriller",""
"Murderous Maids","2000","Jean-Pierre Denis","France","Crime, drama","aka \"Les blessures assassines\""
"The Next Best Thing","2000","John Schlesinger","United States","Romantic comedy drama",""
"Nico and Dani","2000","Cesc Gay","Spain","Romantic comedy drama",""
"No One Sleeps","2000","Jochen Hick","Germany","Drama, mystery",""
"Once in a Lifetime","2000","Susanne Bier","Denmark
 Sweden","Music comedy drama",""
"Our Lady of the Assassins","2000","Barbet Schroeder","Spain
 France
 Colombia","Romantic crime drama","aka La virgen de los sicarios"
"Paragraph 175","2000","Rob Epstein, Jeffrey Friedman","England
 Germany
 United States","Documentary",""
"The Perfect Son","2000","Leonard Farlinger","Canada","Drama",""
"The Phantom","2000","João Pedro Rodrigues","Portugal","Drama","aka O Fantasma"
"Presque rien","2000","Sébastien Lifshitz","France
 Belgium","Romantic drama","aka Come Undone and Almost Nothing"
"Red Dirt","2000","Tag Purvis","United States","Romantic drama",""
"Revoir Julie","2000","Jeanne Crépeau","Québec","Comedy, drama",""
"Stardom","2000","Denys Arcand","Québec
 France","Drama, comedy",""
"The Sea","2000","Agustí Villaronga","Spain","Drama","aka El mar"
"Sordid Lives","2000","Del Shores","United States","Comedy",""
"Straightman","2000","Ben Berkowitz","United States","Drama",""
"Things You Can Tell Just by Looking at Her","2000","García Rodrigo","United States","Romantic drama",""
"Together","2000","Lukas Moodysson","Sweden
 Denmark
 Italy","Comedy drama",""
"Urbania","2000","Jon Matthews","United States","Drama, thriller",""
"Water Drops on Burning Rocks","2000","François Ozon","France","Drama",""
"What's Cooking?","2000","Gurinder Chadha","England
 United States","Comedy drama",""
"Woman on Top","2000","Fina Torres","United States","Romantic comedy",""
"Wonder Boys","2000","Curtis Hanson","United States","Comedy drama",""
