"District","Name","Party","District Office","First elected"
"1","A.G. Crowe","Rep","Slidell","2007"
"2","Troy Brown","Dem","Napoleonville","2011"
"3","J.P. Morrell","Dem","New Orleans","2008†"
"4","Ed Murray","Dem","New Orleans","2005†"
"5","Karen Carter Peterson","Dem","New Orleans","2010†"
"6","Bodi White","Rep","Baton Rouge","2011"
"7","David Heitmeier","Dem","New Orleans","2007"
"8","John Alario","Rep","Westwego","2007"
"9","Conrad Appel","Rep","Metairie","2008†"
"10","Daniel Martiny","Rep","Metairie","2007"
"11","Jack Donahue","Rep","Mandeville","2007"
"12","Ben Nevers","Dem","Bogalusa","2003"
"13","Dale M. Erdey","Rep","Livingston","2007"
"14","Yvonne Dorsey-Colomb","Dem","Baton Rouge","2007"
"15","Sharon Weston Broome","Dem","Baton Rouge","2004†"
"16","Dan Claitor","Rep","Baton Rouge","2009†"
"17","Rick Ward, III","Rep","Port Allen","2011"
"18","Jody Amedee","Rep","Gonzales","2003"
"19","Gary Smith, Jr.","Dem","Norco","2011"
"20","Norby Chabert","Rep","Houma","2009†"
"21","Bret Allain","Rep","Franklin","2011"
"22","Fred H. Mills, Jr.","Rep","New Iberia","2011†"
"23","Page Cortez","Rep","Lafayette","2011"
"24","Elbert Guillory","Rep","Opelousas","2009†"
"25","Dan \"Blade\" Morrish","Rep","Jennings","2007"
"26","Jonathan Perry","Rep","Kaplan","2011†"
"27","Ronnie Johns","Rep","Lake Charles","2011"
"28","Eric LaFleur","Dem","Ville Platte","2007"
"29","Rick Gallot","Dem","Ruston","2011"
"30","John R. Smith","Rep","Leesville","2007"
"31","Gerald Long","Rep","Winnfield","2007"
"32","Neil Riser","Rep","Columbia","2007"
"33","Mike Walsworth","Rep","West Monroe","2007"
"34","Francis C. Thompson","Dem","Delhi","2007"
"35","Robert Kostelka","Rep","Monroe","2003"
"36","Robert Adley","Rep","Benton","2003"
"37","Barrow Peacock","Rep","Bossier","2011"
"38","Sherri Smith Buffington","Rep","Keithville","2003"
"39","Gregory Tarver","Dem","Shreveport","2011"
