"Route","Name","Fare Type","Terminals","Terminals","Major streets","Notes","History"
"31","Wisconsin Avenue Line","Local","Friendship Heights station","Potomac Park (Virginia Av & 21st St NW)","Wisconsin Avenue NW","","31 replaces the Wisconsin Avenue portion of the old 30 (see Pennsylvania Avenue Line)"
"32, 36","Pennsylvania Avenue Line","Local","Friendship Heights station","32 Southern Avenue station
36 Naylor Road station","Wisconsin Avenue NW
Pennsylvania Avenue SE/NW
Branch Avenue SE (36)
Alabama Avenue SE (32)","Some weekday 32 and 36 trips terminate at:

Farragut Square
Foggy Bottom – GWU station","36 replaces a portion of the old 35 (see Pennsylvania Avenue Line)"
"34","Naylor Rd Line","Local","Archives (10th St & Pennsylvania Av NW)","Naylor Road station","Pennsylvania Avenue SE
Independence Avenue SE/SW
Naylor Road SE","","34 operated to Friendship Heights station until replaced by the M5, which operated from Naylor Road station to Eastern Market station in 2007; 34 replaced the M5 in 2008 with the extension to the Archives station, also see Pennsylvania Avenue Line"
"37","Wisconsin Avenue Metro Extra Line","Limited Stop","Friendship Heights station","Archives station (AM End)
Federal Triangle (10th St & Pennsylvania Av NW) (PM Start)","Wisconsin Avenue NW
Massachusetts Avenue NW
Pennsylvania Avenue NW","Weekday peak hour service only (AM to Archives, PM to Friendship Heights)
Limited Stops Only","A prior \"incarnation\" of the 37 was once known as the Wisconsin Avenue Express Line, running from Tenleytown-AU station to Archives until the early 1990s"
"39","Pennsylvania Avenue Metro Extra Line","Limited Stop","Naylor Road station","Potomac Park (Virginia Av & 21st St NW)","Pennsylvania Avenue SE/NW","Weekday peak hour service only
AM to Potomac Park, PM to Naylor Road
Limited Stops Only",""
"42, 43","Mount Pleasant Line","Local","Mount Pleasant (Mount Pleasant & Lamont Streets NW)","42 Gallery Place station
43 Farragut Square (AM End)
43 McPherson Square station (Franklin Square Entrance) (PM Start)","42 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW, H/I Streets NW
43 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW","42 serves Dupont Circle station

some peak hour trips terminate at Farragut Square


43: weekday peak hour service only

Travels underneath Dupont Circle via the Connecticut Avenue underpass)","See Mount Pleasant Line"
"52, 53, 54","14th Street Line","Local","Takoma station
14th Street & Colorado Ave NW","52, 54 L'Enfant Plaza Metrorail Station (7th & D Streets SW)
53 McPherson Square station (Franklin Square Entrance)","14th Street NW
Pennsylvania Avenue NW (54)
Independence Avenue SW (52)","52 and 54: daily
53: Monday-Saturday only","52 & 54 originally terminated at Navy Yard until the mid-1990s, when the 52 was truncated to L'Enfant Plaza station & 54 to Federal Triangle. 54 was later extended to L'Enfant Plaza station.
The 53 was introduced several years after the former route 50 was discontinued, operating at first to Bureau Of Engraving before being shortened to Federal Triangle and now to Franklin Square.
Also see 14th Street Line"
"62, 63","Takoma-Petworth Line","Local","Takoma station","62 Georgia Avenue – Petworth station
63 Federal Triangle (10th St & Constitution Av NW)","5th Street NW, Kansas Avenue NW, Sherman Avenue NW (63)
13th Street NW (63)","63: weekday peak & early weekend AM hours only","63 operates through the portion of the 62 that operated to Federal Triangle until Georgia Avenue – Petworth station opened in 1999; it also replaces the 68, which operated from Georgia Avenue – Petworth station to Federal Triangle from 2001–2009"
"60, 64","Fort Totten-Petworth Line","Local","Fort Totten station","60 Georgia Avenue – Petworth station
64 Federal Triangle (10th St & Constitution Av NW)","Rock Creek Church Rd NW (60)
Upshur Street NW (60)
New Hampshire Avenue NW (64)
11th Street NW (64)","60: Monday-Friday service only","64 was replaced by the 66 south of Georgia Avenue – Petworth station when it opened in 1999; it replaced the 66 in 2009
64 also runs on the old 11th Street Streetcar Line."
"70","Georgia Avenue-7th Street Line","Local","Silver Spring station*","Archives station","Georgia Avenue NW
7th Street NW","Silver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center.","See Seventh Street Line
Starting September 23, 2011, 71 service was discontinued, and the 70 was shortened to Archives. For service to Southwest Waterfront, see route directly below this one."
