"Outcome","No.","Date","Tournament","Surface","Partner","Opponents in the final","Score in the final"
"Winner","1.","9 May 2010","Estoril Open, Estoril, Portugal","Clay","Marc López","Pablo Cuevas
 Marcel Granollers","6–7(1–7), 6–4, [10–4]"
"Winner","2.","25 July 2010","International German Open, Hamburg, Germany","Clay","Marc López","Jérémy Chardy
 Paul-Henri Mathieu","6–2, 2–6, [10–8]"
"Runner-up","1.","1 May 2011","Estoril Open, Estoril, Portugal","Clay","Marc López","Eric Butorac
 Jean-Julien Rojer","3–6, 4–6"
"Runner-up","2.","21 May 2011","Open de Nice Côte d’Azur, Nice, France","Clay","Santiago Gonzalez","Eric Butorac
 Jean-Julien Rojer","3–6, 4–6"
"Runner-up","3.","24 September 2011","BRD Năstase Țiriac Trophy, Bucharest, Romania","Clay","Julian Knowle","Daniele Bracciali
 Potito Starace","6–3, 4–6, [8–10]"
"Runner-up","4.","23 October 2011","Kremlin Cup, Moscow, Russia","Hard (i)","Carlos Berlocq","František Čermák
 Filip Polášek","3–6, 1–6"
"Winner","3.","25 February 2012","Copa Claro, Buenos Aires, Argentina","Clay","Fernando Verdasco","Michal Mertiňák
 André Sá","6–4, 6–4"
"Winner","4.","4 March 2012","Abierto Mexicano TELCEL, Acapulco, Mexico","Clay","Fernando Verdasco","Marcel Granollers
 Marc López","6–3, 6–4"
"Runner-up","5.","6 May 2012","Estoril Open, Estoril, Portugal","Clay","Julian Knowle","Aisam-ul-Haq Qureshi
 Jean-Julien Rojer","5–7, 5–7"
"Winner","5.","14 July 2012","ATP Vegeta Croatia Open Umag, Umag, Croatia","Clay","Fernando Verdasco","Marcel Granollers
 Marc López","6–3, 7–6(7–4)"
"Winner","6.","22 July 2012","International German Open, Hamburg, Germany","Clay","Fernando Verdasco","Rogério Dutra da Silva
 Daniel Muñoz de la Nava","6–4, 6–3"
"Runner-up","6.","28 October 2012","Valencia Open 500, Valencia, Spain","Hard (i)","Fernando Verdasco","Alexander Peya
 Bruno Soares","3–6, 2–6"
"Winner","7.","2 March 2013","Abierto Mexicano Telcel, Acapulco, Mexico","Clay","Łukasz Kubot","Simone Bolelli
 Fabio Fognini","7–5, 6–2"
"Winner","8.","27 July 2013","ATP Vegeta Croatia Open Umag, Umag, Croatia","Clay","Martin Kližan","Nicholas Monroe
 Simon Stadler","6–1, 5–7, [10–7]"
"Winner","9.","22 September 2013","St. Petersburg Open, St. Petersburg, Russia","Hard (i)","Fernando Verdasco","Dominic Inglot
 Denis Istomin","7–6(8–6), 6–3"
"Runner-up","7.","13 October 2013","Shanghai Rolex Masters, Shanghai, China","Hard","Fernando Verdasco","Ivan Dodig
 Marcelo Melo","6–7(2–7), 7–6(8–6), [2–10]"
"Winner","10.","11 November 2013","ATP World Tour Finals, London, United Kingdom","Hard (i)","Fernando Verdasco","Bob Bryan
 Mike Bryan","7-5, 6-7(3-7), [10-7]"
"Runner-up","8.","23 February 2014","Rio Open, Rio de Janeiro, Brazil","Clay","Marcelo Melo","Juan Sebastián Cabal
 Robert Farah","4-6, 2-6"
