No.	Name	Public Access	Location & map links	Area\nHa	Area\nAcres	References
1	Aversley Wood		52°25′25″N 0°17′28″W﻿ / ﻿52.4236°N 0.2911°W\n    TL163820	61	151	SSSI WT
2	Balsham Wood		52°07′19″N 0°19′11″E﻿ / ﻿52.1219°N 0.3196°E\n    TL589496	35	85	SSSI
3	Bedford Purlieus NNR		52°35′00″N 0°27′49″W﻿ / ﻿52.5833°N 0.4635°W\n    TL042995	208	514	SSSI NNR FC
4	Brampton Wood		52°19′02″N 0°16′13″W﻿ / ﻿52.3172°N 0.2703°W\n    TL180702	132	326	SSSI BCNPWT
5	Buff Wood		52°08′10″N 0°07′36″W﻿ / ﻿52.1361°N 0.1268°W\n    TL283503	16	39	SSSI BCNPWT
6	Carlton Wood		52°09′02″N 0°24′58″E﻿ / ﻿52.15051°N 0.4161°E\n    TL654530	10	25	SSSI
7	Gamlingay Wood		52°09′57″N 0°11′08″W﻿ / ﻿52.1658°N 0.1855°W\n    TL242535	46	114	SSSI BCNPWT
8	Hardwick Wood		52°11′57″N 0°01′13″W﻿ / ﻿52.1991°N 0.0203°W\n    TL354575	17	42	SSSI BCNPWT
9	Hayley Wood		52°09′33″N 0°06′51″W﻿ / ﻿52.1593°N 0.1141°W\n    TL291529	52	129	SSSI BCNPWT
10	Kingston Wood and Outliers		52°10′06″N 0°03′50″W﻿ / ﻿52.1684°N 0.064°W\n    TL325540	49	121	SSSI
11	Langley Wood		52°03′24″N 0°20′33″E﻿ / ﻿52.0567°N 0.3424°E\n    TL607424	31	77	SSSI
12	Little Paxton Wood		52°15′26″N 0°17′14″W﻿ / ﻿52.2572°N 0.2872°W\n    TL170635	45	111	SSSI
13	Madingley Wood		52°13′00″N 0°02′57″E﻿ / ﻿52.2168°N 0.0493°E\n    TL401596	15	38	SSSI
14	Monks Wood NNR		52°24′18″N 0°14′15″W﻿ / ﻿52.4049°N 0.2375°W\n    TL200800	170	420	SSSI NNR
15	Out and Plunder Woods		52°10′03″N 0°25′33″E﻿ / ﻿52.1674°N 0.4258°E\n    TL660549	28	69	SSSI
16	Over and Lawn Woods		52°06′35″N 0°23′15″E﻿ / ﻿52.1097°N 0.3876°E\n    TL636484	45	111	SSSI
17	Perry Woods		52°17′06″N 0°20′15″W﻿ / ﻿52.2849°N 0.3375°W\n    TL135665	67	165	SSSI
18	Ten Wood		52°10′31″N 0°25′56″E﻿ / ﻿52.1754°N 0.4321°E\n    TL664558	17	42	SSSI
19	Thorpe Wood		52°34′22″N 0°17′28″W﻿ / ﻿52.5729°N 0.2912°W\n    TL159986	12	28	SSSI BCNPWT
20	Warboy's And Wistow Woods		52°25′11″N 0°05′18″W﻿ / ﻿52.4196°N 0.0883°W\n    TL301819	42	103	SSSI
21	Waresley Wood		52°10′37″N 0°09′21″W﻿ / ﻿52.177°N 0.1558°W\n    T 262548	62	153	SSSI
22	Weaveley and Sand Woods		52°10′21″N 0°12′31″W﻿ / ﻿52.1724°N 0.2086°W\n    TL226542	76	188	SSSI
23	West Abbot's and Lound Woods		52°35′54″N 0°26′11″W﻿ / ﻿52.5983°N 0.4364°W\n    TF060012	51	126	SSSI
